index,sentence,true_tags,predicted_tags,true_entities,predicted_entities
27,"ĠThe Ġceremony Ġfeatured Ġperformances Ġfrom Ġthe ĠBeast ie ĠBoys , Ġwho Ġentered Ġthe Ġstage Ġon Ġbicycles Ġand Ġskate boards , ĠNo ĠDou bt Ġsinger ĠG wen ĠStef ani Ġbeing Ġlowered Ġfrom Ġa Ġgiant Ġclock Ġand ĠN elly Ġdoing Ġa Ġdu et Ġwith ĠPh arrell ĠWilliams .",O O O O O O O O O O O O O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O B-MUSICIAN I-MUSICIAN O O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN O,O O O O O O O O O O O O O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O B-ATHLETE I-ATHLETE O O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN O,"[('MUSICIAN', 24, 27), ('MUSICIAN', 35, 36), ('MUSICIAN', 42, 44)]","[('MUSICIAN', 24, 27), ('ATHLETE', 35, 36), ('MUSICIAN', 42, 44)]"
28,"ĠMTV Ġalso Ġorganised Ġa Ġhuge Ġopen - air Ġconcert Ġfeaturing ĠAn ast acia Ġand ĠThe ĠCure Ġoutside Ġthe ĠItalian Ġcapital 's Ġancient ĠCol os se um , Ġwith Ġsome Ġestimates Ġputting Ġthe Ġattendance Ġthere Ġat Ġ200 , 000 .",O O O O O O O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[('MUSICIAN', 10, 12)]",[]
29,"ĠLast Ġyear 's Ġbig Ġwinner Ġat Ġthe ĠMTV ĠEurope ĠAwards , Ġheld Ġin ĠEdinburgh , ĠScotland , Ġwas ĠJustin ĠTimber lake , Ġwho Ġwalked Ġaway Ġwith Ġthree Ġtrophies .",O O O O O O O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O O,O O O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O,"[('MUSICIAN', 18, 20)]","[('ATHLETE', 18, 20)]"
30,ĠP ave y Ġfocuses Ġon Ġindoor Ġsuccess Ċ Ċ Jo ĠP ave y Ġwill Ġmiss ĠJanuary 's ĠView ĠFrom ĠGreat ĠEdinburgh ĠInternational ĠCross ĠCountry Ġto Ġfocus Ġon Ġpreparing Ġfor Ġthe ĠEuropean ĠInd oor ĠChampionships Ġin ĠMarch .,O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O,"[('ATHLETE', 9, 12)]","[('ATHLETE', 0, 2), ('ATHLETE', 9, 12)]"
34,"ĠP ave y , Ġwho Ġcame Ġfifth Ġin Ġthe Ġ5 , 000 m Ġat Ġthe ĠAthens ĠOlympics , Ġhelped Ġthe ĠBritish Ġcross Ġcountry Ġteam Ġwin Ġthe Ġteam Ġsilver Ġmedal Ġin ĠHer ings d orf Ġlast Ġweek .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 0, 2)]"
36,ĠReyes Ġtricked Ġinto ĠReal Ġadmission Ċ Ċ Jose ĠAntonio ĠReyes Ġhas Ġadded Ġto Ġspeculation Ġlinking Ġhim Ġwith Ġa Ġmove Ġfrom ĠArsenal Ġto ĠReal ĠMadrid Ġafter Ġfalling Ġvictim Ġto Ġa Ġradio Ġprank .,O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O,"[('ATHLETE', 7, 9)]","[('ATHLETE', 0, 0), ('PUBLIC-FIGURE', 7, 9)]"
38,"ĠI Ġwish ĠI Ġwas Ġplaying Ġfor ĠReal ĠMadrid ,"" Ġthe Ġ21 - year - old Ġtold ĠCad ena ĠC ope . Ġ""",O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O,[],"[('ATHLETE', 16, 19)]"
40,ĠI Ġlove Ġthe Ġway ĠMadrid Ġplay .,O O O O O O O,O O O O B-MUSICIAN O O,[],"[('MUSICIAN', 4, 4)]"
47,"ĠBefore Ġthe Ġstory Ġsurfaced , ĠReyes Ġhad Ġmoved Ġto Ġplay Ġdown Ġreports Ġlinking Ġhim Ġwith Ġthe ĠSpanish Ġgiants , Ġissuing Ġa Ġstatement Ġthrough ĠArsenal Ġdescribing Ġthe Ġspeculation Ġas Ġ"" fl attering "". Ġ""",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O B-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 5, 5)]"
50,"ĠBut r agu eno , Ġmeanwhile , Ġwas Ġangry Ġat Ġbeing Ġimperson ated Ġby Ġthe Ġradio Ġdisc Ġj ockey . Ġ""",O O O O O O O O O O O O O O O O O O O O O,B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O,[],"[('PUBLIC-FIGURE', 0, 3)]"
54,ĠWenger Ġsteps Ġup Ġrow Ċ Ċ Ar s ene ĠWenger Ġhas Ġstepped Ġup Ġhis Ġfeud Ġwith ĠSir ĠAlex ĠFerguson Ġby Ġclaiming Ġthe ĠManchester ĠUnited Ġmanager Ġis Ġguilty Ġof Ġbringing Ġfootball Ġinto Ġdis rep ute .,O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O,B-BUSINESS-EXECUTIVE-MANAGER O O O O O B-BUSINESS-EXECUTIVE-MANAGER B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O,"[('ATHLETE', 6, 9), ('ATHLETE', 16, 18)]","[('BUSINESS-EXECUTIVE-MANAGER', 0, 0), ('BUSINESS-EXECUTIVE-MANAGER', 6, 6), ('ATHLETE', 7, 9), ('ATHLETE', 17, 18)]"
55,"Ġ Ċ Ċ The Ġpair 's Ġlong - running Ġrow Ġwas Ġput Ġback Ġin Ġthe Ġheadlines Ġon ĠSaturday Ġwhen ĠFerguson Ġsaid Ġhis ĠArsenal Ġcounterpart Ġwas Ġ"" a Ġdisgrace "".",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O B-ATHLETE O O O O O O O O O,[],"[('ATHLETE', 19, 19)]"
57,ĠBut Ġnow Ġhe Ġclaims ĠFerguson Ġshould Ġbe Ġpunished Ġby Ġthe ĠFootball ĠAssociation .,O O O O O O O O O O O O O,O O O O B-ATHLETE O O O O O O O O,[],"[('ATHLETE', 4, 4)]"
58,"ĠThe Ġlatest Ġtwist Ġin Ġthe ĠFerguson - W enger Ġsaga Ġcame Ġon ĠSaturday Ġwhen Ġthe ĠUnited Ġboss , Ġin Ġan Ġinterview Ġwith ĠThe ĠIndependent Ġnewspaper , Ġdiscussed Ġthe Ġevents Ġafter Ġthe Ġgame Ġbetween Ġthe Ġtwo Ġsides Ġin ĠOctober .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O B-BUSINESS-EXECUTIVE-MANAGER O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 5, 5), ('BUSINESS-EXECUTIVE-MANAGER', 7, 8)]"
59,"ĠUnited Ġwon Ġ2 - 0 Ġthat Ġday , Ġat ĠOld ĠTrafford , Ġbut Ġthe Ġgame Ġwas Ġfollowed Ġby Ġa Ġnow Ġnotorious Ġfood Ġfight Ġwhich Ġsaw ĠFerguson 's Ġclothes Ġcovered Ġin Ġsoup Ġand Ġpizza .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 25, 25)]"
61,"ĠIn Ġthe Ġtunnel ĠWenger Ġwas Ġcritic ising Ġmy Ġplayers , Ġcalling Ġthem Ġche ats , Ġso ĠI Ġtold Ġhim Ġto Ġleave Ġthem Ġalone Ġand Ġbehave Ġhimself ,"" ĠFerguson Ġsaid Ġon ĠSaturday . Ġ""",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O B-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O B-ATHLETE O O O O O,[],"[('PUBLIC-FIGURE', 3, 3), ('ATHLETE', 27, 27)]"
64,"ĠIt 's Ġa Ġdisgrace , Ġbut ĠI Ġdon 't Ġexpect ĠWenger Ġto Ġever Ġapologise , Ġhe 's Ġthat Ġtype Ġof Ġperson .""",O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O B-ATHLETE O O O O O O O O O O O,[],"[('ATHLETE', 10, 10)]"
65,"Ġ Ċ Ċ Those Ġallegations Ġwere Ġput Ġto ĠWenger Ġafter ĠSaturday 's Ġgame Ġat ĠBolton , Ġwhich ĠArsenal Ġlost Ġto Ġslip Ġ10 Ġpoints Ġbehind ĠChelsea Ġin Ġthe Ġtitle Ġrace .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 8, 8)]"
73,"ĠBut Ġlater Ġon ĠSaturday , Ġaccording Ġto ĠThe ĠIndependent , ĠWenger Ġspoke Ġto Ġa Ġsmaller Ġgroup Ġof Ġreporters Ġand Ġexpanded Ġon Ġhis Ġreaction . Ġ""",O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O B-PUBLIC-FIGURE O O O O O O O O O O O O O O,[],"[('PUBLIC-FIGURE', 10, 10)]"
83,"ĠRem ind ed Ġthat ĠFerguson Ġcalled Ġhim Ġ"" a Ġdisgrace "", ĠWenger Ġadded : Ġ"" I Ġdon 't Ġrespond Ġto Ġanything .",O O O O O O O O O O O O O O O O O O O O O O,O O O O B-ATHLETE O O O O O O B-ATHLETE O O O O O O O O O O,[],"[('ATHLETE', 4, 4), ('ATHLETE', 11, 11)]"
89,"ĠGill Ġph oned ĠDe in Ġthree Ġtimes Ġto Ġcomplain Ġbut Ġnothing Ġwas Ġdone . Ġ""",O O O O O O O O O O O O O O O,B-ATHLETE O O B-ATHLETE I-ATHLETE O O O O O O O O O O,[],"[('ATHLETE', 0, 0), ('ATHLETE', 3, 4)]"
90,"ĠThe Ġreturn Ġis Ġon Ġ1 ĠFebruary Ġand Ġthey Ġwill Ġcome Ġout Ġwith Ġanother Ġdi at ribe . Ġ""",O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O,[],"[('ATHLETE', 13, 15)]"
91,"ĠDavid ĠGill Ġand ĠI Ġfeel Ġwe Ġshould Ġset Ġthe Ġrecord Ġstraight Ġbecause ĠArsenal Ġhave Ġnot Ġwritten Ġto Ġus Ġto Ġapologise Ġand Ġwe Ġwould Ġnot Ġlet Ġthat Ġhappen Ġhere .""",B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[('BUSINESS-EXECUTIVE-MANAGER', 0, 1)]","[('ATHLETE', 0, 1)]"
94,"ĠWenger Ġlater Ġaccused ĠVan ĠN ist el ro oy Ġof Ġ"" che ating "" Ġand Ġwas Ġfined ĠÂ£ 15 , 000 Ġand Ġ"" severe ly Ġreprim anded "" Ġby Ġthe ĠFootball ĠAssociation .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 0, 0), ('ATHLETE', 3, 8)]"
95,"ĠFerguson Ġadmitted Ġon ĠSaturday Ġthat ĠVan ĠN ist el ro oy 's Ġtackle , Ġwhich Ġearned Ġthe ĠDutch man Ġa Ġban , Ġ"" could Ġhave Ġgiven Ġ( Cole ) Ġa Ġserious Ġinjury "", Ġbut Ġhe Ġbelieves ĠArsenal Ġwere Ġthe Ġmain Ġaggress ors .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O B-ATHLETE O O O O O O O O O O O O O O O,[],"[('ATHLETE', 0, 0), ('ATHLETE', 5, 11), ('ATHLETE', 27, 27)]"
96,"Ġ Ċ Ċ "" W enger Ġis Ġalways Ġcomplaining Ġthe Ġmatch Ġwas Ġnot Ġplayed Ġin Ġthe Ġright Ġspirit ,"" Ġhe Ġadded . Ġ""",O O O O O O O O O O O O O O O O O O O O O O O,O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 4, 5)]"
101,"ĠBut Ġto ĠWenger Ġit Ġnever Ġhappens , Ġit Ġis Ġall Ġsome Ġdream Ġor Ġnightmare .""",O O O O O O O O O O O O O O O,O O B-ACTOR-DIRECTOR O O O O O O O O O O O O,[],"[('ACTOR-DIRECTOR', 2, 2)]"
103,"Ġ Ċ Ċ Despite Ġmoves Ġto Ġbring Ġmusic Ġdownload Ġservices Ġto Ġmob iles , Ġpeople Ġdo Ġnot Ġwant Ġto Ġtrade Ġmultimedia Ġservices Ġwith Ġsize Ġand Ġbattery Ġlife , Ġsaid ĠJupiter .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-MUSICIAN O,[],"[('MUSICIAN', 29, 29)]"
104,"ĠA Ġseparate Ġstudy Ġby ĠG art ner Ġhas Ġalso Ġsaid Ġreal - time ĠTV Ġbroadcasts Ġto Ġmob iles Ġis Ġ"" un likely "" Ġin ĠEurope Ġuntil Ġ2007 .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 4, 6)]"
109,"ĠMobile Ġphone Ġmusic Ġservices Ġmust Ġnot Ġbe Ġpositioned Ġto Ġcompete Ġwith Ġthe ĠPC Ġmusic Ġexperience Ġas Ġthe Ġhands ets Ġare Ġnot Ġyet Ġready ,"" Ġsaid ĠThomas ĠHuss on , Ġmobile Ġanalyst Ġat ĠJupiter Ġresearch . Ġ""",O O O O O O O O O O O O O O O O O O O O O O O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O,"[('AUTHOR-WRITER', 25, 27)]","[('PUBLIC-FIGURE', 25, 27)]"
115,"ĠBut , Ġthe ĠG art ner Ġreport Ġon Ġmobile ĠTV Ġbroadcasting Ġin ĠEurope Ġsuggests Ġdirect Ġbroadcasting Ġwill Ġhave Ġto Ġwait .",O O O O O O O O O O O O O O O O O O O O O,O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O O O,[],"[('AUTHOR-WRITER', 3, 5)]"
125,ĠHands ets Ġalso Ġneed Ġto Ġbe Ġable Ġto Ġwork Ġwith Ġthe ĠDV B - H Ġstandard .,O O O O O O O O O O O O O O O O O,B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O,[],"[('ATHLETE', 0, 1)]"
127,"ĠPeople Ġare Ġalso Ġlikely Ġto Ġbe Ġput Ġoff Ġwatching ĠTV Ġon Ġsuch Ġsmall Ġscreens , Ġsaid ĠG art ner .",O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 16, 18)]"
130,"ĠMore Ġpowerful Ġsmartphones Ġlike Ġthe ĠX DA ĠII , ĠNokia Ġ66 00 , ĠSony Eric sson ĠP 900 Ġand Ġthe ĠOrange ĠE 200 , Ġoffering Ġweb Ġaccess , Ġtext Ġand Ġmultimedia Ġmessaging , Ġe - mail , Ġcalendar Ġand Ġgaming Ġare Ġbecoming Ġincreasingly Ġcommon .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O B-MUSICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('MUSICIAN', 13, 13)]"
136,ĠBut ĠEur one xt Ġdeclined Ġto Ġcomment Ġafter Ġthe Ġtalks Ġended Ġon ĠFriday .,O O O O O O O O O O O O O O,O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 1, 3)]"
141,Ġ Ċ Ċ There Ġwas Ġspeculation ĠEur one xt Ġwould Ġuse ĠFriday 's Ġmeeting Ġas Ġan Ġopportunity Ġto Ġtake Ġadvantage Ġof Ġgrowing Ġdis quiet Ġover ĠDeutsche ĠBo er se 's Ġown Ġplans Ġfor Ġdominance Ġover Ġthe ĠLondon Ġmarket .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 6, 8)]"
150,"ĠEur one xt , Ġso Ġfar , Ġhas Ġgiven Ġlittle Ġaway Ġas Ġto Ġwhat Ġsweet eners Ġit Ġwill Ġoffer Ġthe ĠL SE Ġ- ĠEurope 's Ġbiggest Ġequity Ġmarket Ġ- Ġinto Ġa Ġdeal .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 0, 2)]"
159,"Ġ Ċ Ċ "" During Ġ2004 Ġwe Ġprof ited Ġfrom Ġthe Ġfact Ġthat Ġthe Ġworld Ġeconomy Ġwas Ġstrong ,"" Ġsaid ĠStefan ĠSch il be , Ġanalyst Ġat ĠHSBC ĠTr ink aus Ġ& ĠBurk hardt . Ġ""",O O O O O O O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O,"[('PUBLIC-FIGURE', 20, 23)]","[('BUSINESS-EXECUTIVE-MANAGER', 20, 23)]"
168,ĠThe Ġcampaigners Ġunveiled Ġa Ġhuge Ġposter Ġfeaturing ĠBlack ĠWatch Ġsoldiers Ġfighting Ġthe Ġwar Ġin ĠIraq Ġbefore Ġthey Ġannounced Ġtheir Ġelection Ġplans .,O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O B-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O,[],"[('MUSICIAN', 7, 8)]"
169,Ġ Ċ Ċ Former ĠScots ĠGuards man ĠAllan ĠHend ry Ġwill Ġchallenge ĠMr ĠIngram .,O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O,O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O B-BUSINESS-EXECUTIVE-MANAGER O,"[('PUBLIC-FIGURE', 7, 9)]","[('ATHLETE', 7, 9), ('BUSINESS-EXECUTIVE-MANAGER', 13, 13)]"
201,ĠStevens Ġnamed Ġin ĠEngland Ġline - up Ċ Ċ England Ġhave Ġnamed ĠBath Ġprop ĠMatt ĠStevens Ġin Ġthe Ġstarting Ġline - up Ġfor Ġtheir ĠSix ĠNations Ġmatch Ġagainst ĠIreland Ġat ĠLans down e ĠRoad Ġon ĠSunday .,O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE O O O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O,"[('ATHLETE', 14, 15)]","[('ATHLETE', 0, 0), ('ATHLETE', 14, 15)]"
203,ĠIt Ġwill Ġbe ĠStevens ' Ġfirst Ġstart Ġafter Ġtwo Ġcaps Ġas Ġa Ġreplacement Ġagainst Ġthe ĠAll ĠBlacks Ġlast Ġyear .,O O O O O O O O O O O O O O O O O O O O,O O O B-ATHLETE O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 3, 3)]"
205,"ĠStevens Ġtakes Ġover Ġfrom ĠPhil ĠVick ery , Ġwho Ġsuffered Ġa Ġbroken Ġarm Ġplaying Ġfor ĠGlou cester Ġlast Ġweekend . Ġ""",O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O,B-ATHLETE O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O,"[('ATHLETE', 4, 6)]","[('ATHLETE', 0, 0), ('ATHLETE', 4, 6)]"
