sub_category,sentence,ner_entities
Politics,"He said: ""When Lord Scarman toured the streets of Brixton his presence was electrifying.","[{""text"": ""Scarman"", ""label"": ""PUBLIC-FIGURE""}]"
Company News,"Lady Hale, sitting with Lords Bingham, Steyn, Hope and Carswell, said many Roma had good reason to want to leave the Czech Republic because of persecution.","[{""text"": ""Hale"", ""label"": ""POLITICIAN""}, {""text"": ""Bingham"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Steyn"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Hope"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Carswell"", ""label"": ""PUBLIC-FIGURE""}]"
Company News,"Lady Hale said immigration officers should have treated all would-be passengers in the same way, only using more intrusive questioning if there was a specific reason.","[{""text"": ""Hale"", ""label"": ""POLITICIAN""}]"
Company News,"Welcoming the ruling, Maeve Sherlock, chief executive of the Refugee Council, said: ""Human rights abuses against the Roma in Eastern Europe are well documented, and it is hugely troubling that the government sought to deny entry to such a vulnerable group.""","[{""text"": ""Maeve Sherlock"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
Company News,"Amnesty International's Jan Shaw said: ""That the government's own asylum policy was being operated discriminatorily is bleakly ironic given that discrimination often lies at the heart of serious human rights abuse, not least in the Czech Republic.""","[{""text"": ""Jan Shaw"", ""label"": ""PUBLIC-FIGURE""}]"
Company News,"But the chairman of Migration Watch UK, Sir Andrew Green, said the House of Lords decision was a ""step in the wrong direction"".","[{""text"": ""Andrew Green"", ""label"": ""POLITICIAN""}]"
Athletics,"Chepkemei hit by big ban

Kenya's athletics body has suspended two-time London Marathon runner-up Susan Chepkemei from all competition until the end of the year.","[{""text"": ""Chepkemei"", ""label"": ""ATHLETE""}, {""text"": ""Susan Chepkemei"", ""label"": ""ATHLETE""}]"
Athletics,Athletics Kenya (AK) issued the ban after Chepkemei failed to turn up for a cross country training camp in Embu.,"[{""text"": ""Chepkemei"", ""label"": ""ATHLETE""}]"
Athletics,"""We have banned her from all local and international competitions,"" said AK chief Isaiah Kiplagat.","[{""text"": ""Isaiah Kiplagat"", ""label"": ""PUBLIC-FIGURE""}]"
Athletics,"The 29-year-old finished second to Paula Radcliffe in the 2002 and 2003 London races, and was also edged out in an epic New York Marathon contest last year.","[{""text"": ""Paula Radcliffe"", ""label"": ""ATHLETE""}]"
Athletics,But the ban will prevent the two-time world half-marathon silver medallist from challenging Radcliffe at this year's London event in April.,"[{""text"": ""Radcliffe"", ""label"": ""ATHLETE""}]"
Athletics,"Global Sports Communications, Chepkemei's management company, said she had wanted to run in the World Cross Country Championships in March.","[{""text"": ""Chepkemei"", ""label"": ""ATHLETE""}]"
Athletics,But AK maintained it was making an example of Chepkemei as a warning to other Kenyan athletes.,"[{""text"": ""Chepkemei"", ""label"": ""ATHLETE""}]"
Athletics,"""We are taking this action in order to salvage our pride,"" said Kiplagat.","[{""text"": ""Kiplagat"", ""label"": ""PUBLIC-FIGURE""}]"
Athletics,KA has also threatened three-time women's short-course champion Edith Masai with a similar ban if reports that she feigned injury to avoid running at the cross country world championships are true.,"[{""text"": ""Edith Masai"", ""label"": ""ATHLETE""}]"
Athletics,"Masai missed the national trials in early February, but was included in the provisional team on the proviso that she ran in a regional competition.","[{""text"": ""Masai"", ""label"": ""ATHLETE""}]"
Economy,"Four African players, including Zimbabwe goalkeeper Energy Murambadoro, are all ready to play for Israeli club Hapoel Bnei Sakhnin in the Uefa Cup.","[{""text"": ""Energy Murambadoro"", ""label"": ""ATHLETE""}]"
Economy,"Warriors' goalkeeper Murambadoro, who made a name for himself at the African Nations Cup finals in Tunisia, helped Bnei Sakhnin overcome Albania's Partizani Tirana 6-1 in the previous round.","[{""text"": ""Murambadoro"", ""label"": ""ATHLETE""}]"
Economy,Murambadoro moved to Israel recently after a brief stint with South African club Hellenic.,"[{""text"": ""Murambadoro"", ""label"": ""ATHLETE""}]"
Economy,"The three other Africans at the club are former Cameroon defender Ernest Etchi, DR Congo's Alain Masudi and Nigerian midfielder Edith Agoye, who had a stint with Tunisian side Esperance.","[{""text"": ""Ernest Etchi"", ""label"": ""ATHLETE""}, {""text"": ""Alain Masudi"", ""label"": ""ATHLETE""}, {""text"": ""Edith Agoye"", ""label"": ""ATHLETE""}]"
Politics,"Mandelson warning to BBC

The BBC should steer away from ""demonising"" ex-Downing Street media chief Alastair Campbell, Peter Mandelson has said.","[{""text"": ""Mandelson"", ""label"": ""POLITICIAN""}, {""text"": ""Alastair Campbell"", ""label"": ""POLITICIAN""}, {""text"": ""Peter Mandelson"", ""label"": ""POLITICIAN""}]"
Politics,"The European commissioner and former Labour minister was speaking amid claims that Mr Campbell is part of a Labour ""dirty tricks"" campaign.","[{""text"": ""Campbell"", ""label"": ""POLITICIAN""}]"
Politics,"That charge was denied by Mr Mandelson, who said the Tories were afraid of Mr Campbell's campaigning skills.","[{""text"": ""Mandelson"", ""label"": ""POLITICIAN""}, {""text"": ""Campbell"", ""label"": ""POLITICIAN""}]"
Politics,He warned the BBC that attacking Mr Campbell had brought it trouble before.,"[{""text"": ""Campbell"", ""label"": ""POLITICIAN""}]"
Politics,"The affair prompted the resignation of BBC chairman Gavyn Davies, director-general Greg Dyke and reporter Andrew Gilligan.","[{""text"": ""Gavyn Davies"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}, {""text"": ""Greg Dyke"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}, {""text"": ""Andrew Gilligan"", ""label"": ""AUTHOR-WRITER""}]"
Politics,Labour has attracted media criticism for using new freedom of information laws to dig up information about Tory leader Michael Howard's past.,"[{""text"": ""Michael Howard"", ""label"": ""POLITICIAN""}]"
Politics,"Mr Mandelson, a former Labour communications director, told BBC Radio 4's Today programme: ""I understand why the Tories will be gunning for Alastair Campbell because they fear his campaigning skills.","[{""text"": ""Mandelson"", ""label"": ""POLITICIAN""}, {""text"": ""Alastair Campbell"", ""label"": ""POLITICIAN""}]"
Politics,"""I think the BBC would be much better advised to leave all this stuff well alone, concentrate on the issues as I say, not resume their demonisation of Alastair Campbell - we all know where that led before.","[{""text"": ""Alastair Campbell"", ""label"": ""POLITICIAN""}]"
Politics,"Mr Campbell is acting as an adviser for Labour, which denies engaging in personal campaigning.","[{""text"": ""Campbell"", ""label"": ""POLITICIAN""}]"
Politics,"Conservative co-chairman Liam Fox said Mr Campbell's return and Labour poster plans attacking Mr Howard - recently withdrawn from the party's website - were a sign of ""abusive politics"".","[{""text"": ""Campbell"", ""label"": ""POLITICIAN""}, {""text"": ""Liam Fox"", ""label"": ""POLITICIAN""}, {""text"": ""Howard"", ""label"": ""POLITICIAN""}]"
Politics,"Labour peer Baroness Kennedy, who is chairing the Power Inquiry into political disengagement, said people already thought politicians engaged in dirty tricks.","[{""text"": ""Baroness Kennedy"", ""label"": ""POLITICIAN""}]"
Company News,"Those charged included Otis Ferry, the 22-year-old son of rock star Bryan Ferry and Luke Tomlinson, 27, a close friend of princes William and Harry.","[{""text"": ""Otis Ferry"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Bryan Ferry"", ""label"": ""MUSICIAN""}, {""text"": ""Luke Tomlinson"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""William"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Harry"", ""label"": ""PUBLIC-FIGURE""}]"
Company News,"The men's solicitor Matthew Knight, said that at no time had it occurred to the men that they were committing a criminal offence.","[{""text"": ""Matthew Knight"", ""label"": ""PUBLIC-FIGURE""}]"
Company News,"Otis Ferry, a former Eton pupil and joint leader of the South Shropshire Hunt, said: ""I have no regrets.","[{""text"": ""Otis Ferry"", ""label"": ""PUBLIC-FIGURE""}]"
Company News,"One of the men, David Redvers, 34, from Hartpury, Gloucestershire, said he and the other seven protesters would plead not guilty to the charges.","[{""text"": ""David Redvers"", ""label"": ""PUBLIC-FIGURE""}]"
Company News,"The other protesters are John Holliday, 37, a huntsman from Ledbury, Herefordshire, Robert Thame, 34, who plays polo with Princes Charles in Team Highgrove, auctioneer Andrew Elliot, 42, from Bromesberrow, near Ledbury, point-to-point jockey Richard Wakeham, 34, from York, and former royal chef Nick Wood, 41.","[{""text"": ""John Holliday"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Robert Thame"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Charles"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Andrew Elliot"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Richard Wakeham"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Nick Wood"", ""label"": ""PUBLIC-FIGURE""}]"
Company News,Speaker Michael Martin later said the men had used a forged letter to gain access to the House of Commons and had been helped to get close to the chamber by a parliamentary pass holder.,"[{""text"": ""Michael Martin"", ""label"": ""POLITICIAN""}]"
Football,"Sociedad set to rescue Mladenovic

Rangers are set to loan out-of-favour midfielder Dragan Mladenovic to Real Sociedad, despite the closure of the January transfer window.","[{""text"": ""Mladenovic"", ""label"": ""ATHLETE""}, {""text"": ""Dragan Mladenovic"", ""label"": ""ATHLETE""}]"
Football,"Mladenovic will effectively replace former Rangers midfielder Mikel Arteta, who has been loaned to Everton.","[{""text"": ""Mladenovic"", ""label"": ""ATHLETE""}, {""text"": ""Mikel Arteta"", ""label"": ""ATHLETE""}]"
Football,Mladenovic's loan move is subject to him passing a medical.,"[{""text"": ""Mladenovic"", ""label"": ""ATHLETE""}]"
Football,Special permission from the Spanish FA came after an injury to central defender Igor Jauregi.,"[{""text"": ""Igor Jauregi"", ""label"": ""ATHLETE""}]"
Football,The versatile Mladenovic can also play in the back four.,"[{""text"": ""Mladenovic"", ""label"": ""ATHLETE""}]"
Football,Mladenovic's time at Ibrox has been plagued with injury and he has made just six starts in six months with the Glasgow club.,"[{""text"": ""Mladenovic"", ""label"": ""ATHLETE""}]"
Politics,"On Monday, Tony Blair's official spokesman declined to say whether the prime minister backed the plans.","[{""text"": ""Tony Blair's"", ""label"": ""POLITICIAN""}]"
Politics,"Dave Prentis, general secretary of Unison, said changes to pension provisions for workers in the public sector would mean they had to pay in more but would still face a raw deal.","[{""text"": ""Dave Prentis"", ""label"": ""PUBLIC-FIGURE""}]"
Politics,Mr Prentis said workers did not want to go on strike and called for talks between unions and the highest level of government.,"[{""text"": ""Prentis"", ""label"": ""PUBLIC-FIGURE""}]"
Politics,"Mark Serwotka, from the Public and Commercial Services union said there should be a co-ordinated one day strike unless there was a government rethink.","[{""text"": ""Mark Serwotka"", ""label"": ""PUBLIC-FIGURE""}]"
Politics,"Pensions officer Paul Woolstenholmes said: ""The pensions of millions of public sector workers are under threat - apart from MPs and judges who have the most generous pensions arrangements in the country.""","[{""text"": ""Paul Woolstenholmes"", ""label"": ""PUBLIC-FIGURE""}]"
Politics,"MP's shock at long lost daughter

Labour MP Stephen Pound has told of his shock and his joy on learning he fathered a daughter when he was ""out of control"" during the ""wild"" 1960s.","[{""text"": ""Stephen Pound"", ""label"": ""POLITICIAN""}]"
Politics,"Lucy, 36, tracked down Mr Pound after her birth mother told her he was known as ""Precious"" at school.","[{""text"": ""Lucy"", ""label"": ""PUBLIC-FIGURE""}]"
Politics,Lucy's mother kept her pregnancy secret and had her adopted at four weeks.,"[{""text"": ""Lucy"", ""label"": ""PUBLIC-FIGURE""}]"
Politics,That happened when Lucy wrote to his Parliamentary office saying she believed he was her father.,"[{""text"": ""Lucy"", ""label"": ""PUBLIC-FIGURE""}]"
Politics,"""I don't blame Lucy's mother.","[{""text"": ""Lucy"", ""label"": ""PUBLIC-FIGURE""}]"
Politics,"Mr Pound says he rang Lucy as soon as he got her letter, they met up and have been in contact ever since.","[{""text"": ""Lucy"", ""label"": ""PUBLIC-FIGURE""}]"
Politics,"Lucy, who was adopted by a family from Essex, wants to remain anonymous for the sake of her adoptive father and her children.","[{""text"": ""Lucy"", ""label"": ""PUBLIC-FIGURE""}]"
Politics,"Mr Pound said his wife Maggie had been fully supportive and their two children Emily, 16, and Pelham, 14 were pleased to have an older sister.","[{""text"": ""Maggie"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Emily"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Pelham"", ""label"": ""PUBLIC-FIGURE""}]"
Football,"Lee Miller scored inside the opening 60 seconds, heading over Colin Meldrum and into the net from a Jamie McAllister free kick.","[{""text"": ""Lee Miller"", ""label"": ""ATHLETE""}, {""text"": ""Colin Meldrum"", ""label"": ""ATHLETE""}, {""text"": ""Jamie McAllister"", ""label"": ""ATHLETE""}]"
Football,McAllister himself scored the second when he met Saul Mikoliunas' cross at the back post to put the game beyond the visitors.,"[{""text"": ""McAllister"", ""label"": ""ATHLETE""}, {""text"": ""Saul Mikoliunas'"", ""label"": ""ATHLETE""}]"
