tokens,ner_tags
olympic champion christian ol ##sson will not be taking part as he is out for the entire indoor season with an ankle injury .,O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O
"leonardo di ##cap ##rio , jamie fox ##x and hilary swan ##k are among those due to attend this year ' s oscar nominees lunch ##eon on monday .",B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O O O O O O O O O O O O
"british hopeful ##s , including kate wins ##let , im ##eld ##a st ##au ##nton and sophie ok ##oned ##o are also expected to attend .",O O O O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O
"martin sc ##ors ##ese ' s the aviator is leading the field at this year ' s oscar ##s with 11 nominations , while other multiple nominees include million dollar baby and sideways .",B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"oscar nominees swan ##k and fox ##x were among the winners at the screen actors guild awards at the weekend , one of the many ceremonies held in the run - up to the oscar ##s .",O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
swan ##k won best actress for million dollar baby while fox ##x triumph ##ed for his performance as ray charles in the bio ##pic ray .,B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O B-MUSICIAN I-MUSICIAN O O O O O O
"many of those nominated for oscar ##s including di ##cap ##rio , fox ##x and st ##au ##nton - an oscar nominee for her performance in vera drake - have also been nominated for bafta ##s .",O O O O O O O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O O O O O O O O O O O O O O
wen ##ger offers mu ##tu hope arsenal boss ars ##ene wen ##ger would consider signing adrian mu ##tu once the striker has served his drugs ban .,B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O B-ATHLETE I-ATHLETE O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O
mu ##tu was sacked by chelsea on friday after testing positive for cocaine - a move wen ##ger has backed .,B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O
mu ##tu faces a ban of between six months and two years when the football association decides on his punishment .,B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O
"but mu ##tu has hit out at the club ' s decision , saying : "" chelsea have destroyed me . """,O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O
"and mu ##tu agreed , adding : "" it is unfair .",O B-ATHLETE I-ATHLETE O O O O O O O O O
"levy tipped for w ##hit ##bread prize novelist andrea levy is favourite to win the main w ##hit ##bread prize book of the year award , after winning novel of the year with her book small island .",B-AUTHOR-WRITER O O O O O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"second favourite is a biography of mary queen of scots , by john guy .",O O O O O O O O O O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O
"a panel of judges including sir trevor mcdonald , actor hugh grant and writer joanne harris will decide the overall winner on tuesday .",O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O
"small island , levy ' s fourth novel , is set in post - war london and centres on a land ##lad ##y and her lodge ##rs .",O O O B-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O O O O O O O
one is a jamaican who joined british troops to fight hitler but finds life difficult out of uniform when he settles in the uk .,O O O O O O O O O O B-POLITICIAN O O O O O O O O O O O O O O
"guy has published many histories , including one of tudor england .",B-AUTHOR-WRITER O O O O O O O O O O O
"the other contenders include susan fletcher for eve green , which won the first novel prize .",O O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O
fletcher has recently graduated from the university of east anglia ' s creative writing course .,B-AUTHOR-WRITER O O O O O O O O O O O O O O O
"the fourth book in the running is corpus , michael sy ##mmon ##s roberts ' fourth collection of poems .",O O O O O O O O O O O O O O O O O O O O
"as well as writing poetry , sy ##mmon ##s roberts also makes documentary films .",O O O O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O
"geraldine mcc ##au ##gh ##rea ##n is the final contender , having won the children ' s fiction category for the third time for not the end of the world .",B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O O O O O O O O
"mcc ##au ##gh ##rea ##n , who went into magazine publishing after studying teaching , previously won the category in 1987 with a little lower than angels and in 1994 with gold dust .",B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"the key new technologies applied in the world ' s fastest elevators include : - a pressure control system , which adjust ##s the atmospheric pressure inside a car by using su ##ction and discharge blow ##ers , preventing "" ear popping "" - an active control system which tries to balance the lift more finely and remove the sources of vibrations - streamlined cars to reduce the whistling noise produced by running the lifts at a high speed inside a narrow shaft "" the certification of our elevators as world record - holders by the authoritative guinness world records is a great honour for us , "" said mas ##ay ##uki shi ##mon ##o , president of manufacturer to ##shi ##ba elevator and building systems which installed the lifts .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O
""" as such , it is an interesting indicator of how technology has advanced in the 50 years since that first edition , when the record was 42 ##6 ##m per minute , or 25 . 6 km / h , less than half the speed of the new record , "" said he ##in le ro ##ux , specialist researcher at the guinness world records .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O
labour ' s cunningham to stand down,O O O B-POLITICIAN O O O
veteran labour mp and former cabinet minister jack cunningham has said he will stand down at the next election .,O O O O O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O
"one of the few blair - era ministers to serve under jim call ##aghan , he was given the agriculture portfolio when labour regained power in 1997 .",O O O O B-POLITICIAN O O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O
"mr cunningham went on to become tony blair ' s "" cabinet enforce ##r "" .",O B-POLITICIAN O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O
"mr blair said he was a "" huge figure "" in labour and a "" valued , personal friend "" .",O B-POLITICIAN O O O O O O O O O O O O O O O O O O O
"during labour ' s long period in opposition , mr cunningham held a number of shadow roles including foreign affairs , the environment and as trade spokesman .",O O O O O O O O O O B-POLITICIAN O O O O O O O O O O O O O O O O O
"chief executive jim skinner attributed an 8 . 3 % increase in january worldwide sales to the "" vital ##ity of our menu "" , among other things .",O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O
"the programme can at present only been seen in the us , where it has featured artists like british stars jo ##ss stone and franz ferdinand .",O O O O O O O O O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN O
"mcdonald ' s has targeted the youth market in the past with its advertisements , signing up stars like jelly - legged dancer justin timber ##lake and all - woman singing group destiny ' s child .",O O O O O O O O O O O O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O O O O O
"we are not scared to take this to its conclusion this time , "" attic ##us ' david sl ##ager told the sunday times .",O O O O O O O O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O
the sunday times reported that tc ##i had been drawing up a list of heavyweight executives to replace deutsche ' s chairman rolf br ##eu ##er and chief executive werner se ##ifer ##t .,O O O O O O O O O O O O O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O
"lord scar ##man , 93 , dies peacefully",O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O
"distinguished lawyer lord scar ##man , who conducted the inquiry into the 1981 br ##ix ##ton riots , has died aged 93 .",O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O
"paying tribute , the lord chancellor lord falcon ##er said lord scar ##man was one of the "" great advocates of our generation "" .",O O O O O O O B-POLITICIAN I-POLITICIAN O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O
"lord scar ##man ' s nephew george ritchie said the peer , who passed away peacefully on wednesday , would be "" sadly missed "" .",O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O
"the lord chief justice , lord woolf , who is the most senior judge in england and wales , said it was lord scar ##man ' s "" pioneering work "" which paved the way for the human rights act 1998 .",O O O O O O O O O O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O
"dame elizabeth butler - sl ##oss , the president of the family justice division , said lord scar ##man was a "" good and humane judge "" and one of the greatest figures of the late 20th century .",O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O
lord scar ##man will be remembered for the public inquiry he led into a string of race riots which began in br ##ix ##ton when racial tensions rose after a police crack ##down on street robbery .,O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"trevor phillips , chair of the commission for racial equality , praised lord scar ##man ' s "" ability to listen "" .",B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O
"he said : "" when lord scar ##man toured the streets of br ##ix ##ton his presence was elect ##ri ##fying .",O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O
"lady hale , sitting with lords bingham , ste ##yn , hope and cars ##well , said many roma had good reason to want to leave the czech republic because of persecution .",O B-POLITICIAN O O O O B-PUBLIC-FIGURE O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O B-PUBLIC-FIGURE O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O
"lady hale said immigration officers should have treated all would - be passengers in the same way , only using more int ##rus ##ive questioning if there was a specific reason .",O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"welcoming the ruling , mae ##ve sherlock , chief executive of the refugee council , said : "" human rights abuses against the roma in eastern europe are well documented , and it is hugely tr ##ou ##bling that the government sought to deny entry to such a vulnerable group . """,O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"amnesty international ' s jan shaw said : "" that the government ' s own asylum policy was being operated disc ##rim ##inator ##ily is bleak ##ly ironic given that discrimination often lies at the heart of serious human rights abuse , not least in the czech republic . """,O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"but the chairman of migration watch uk , sir andrew green , said the house of lords decision was a "" step in the wrong direction "" .",O O O O O O O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O
che ##p ##ke ##mei hit by big ban kenya ' s athletics body has suspended two - time london marathon runner - up susan che ##p ##ke ##mei from all competition until the end of the year .,B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O
athletics kenya ( ak ) issued the ban after che ##p ##ke ##mei failed to turn up for a cross country training camp in em ##bu .,O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O
""" we have banned her from all local and international competitions , "" said ak chief isaiah ki ##pl ##aga ##t .",O O O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O
"the 29 - year - old finished second to paula radcliffe in the 2002 and 2003 london races , and was also edged out in an epic new york marathon contest last year .",O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O
but the ban will prevent the two - time world half - marathon silver medallist from challenging radcliffe at this year ' s london event in april .,O O O O O O O O O O O O O O O O O B-ATHLETE O O O O O O O O O O
"global sports communications , che ##p ##ke ##mei ' s management company , said she had wanted to run in the world cross country championships in march .",O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O
but ak maintained it was making an example of che ##p ##ke ##mei as a warning to other kenyan athletes .,O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O
""" we are taking this action in order to salvage our pride , "" said ki ##pl ##aga ##t .",O O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O
ka has also threatened three - time women ' s short - course champion edith mas ##ai with a similar ban if reports that she fei ##gned injury to avoid running at the cross country world championships are true .,O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O
"mas ##ai missed the national trials in early february , but was included in the provisional team on the pro ##vis ##o that she ran in a regional competition .",B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"four african players , including zimbabwe goalkeeper energy mu ##ram ##bad ##oro , are all ready to play for israeli club hapoel bn ##ei sa ##kh ##nin in the uefa cup .",O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O
"warriors ' goalkeeper mu ##ram ##bad ##oro , who made a name for himself at the african nations cup finals in tunisia , helped bn ##ei sa ##kh ##nin overcome albania ' s part ##izan ##i tirana 6 - 1 in the previous round .",O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
mu ##ram ##bad ##oro moved to israel recently after a brief stint with south african club hellenic .,B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O
"the three other africans at the club are former cameroon defender ernest etc ##hi , dr congo ' s alain mas ##udi and nigerian midfielder edith ago ##ye , who had a stint with tunisian side es ##per ##ance .",O O O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O
"man ##del ##son warning to bbc the bbc should steer away from "" demon ##ising "" ex - downing street media chief ala ##sta ##ir campbell , peter man ##del ##son has said .",B-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O
"the european commissioner and former labour minister was speaking amid claims that mr campbell is part of a labour "" dirty tricks "" campaign .",O O O O O O O O O O O O O B-POLITICIAN O O O O O O O O O O O
"that charge was denied by mr man ##del ##son , who said the tori ##es were afraid of mr campbell ' s campaigning skills .",O O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O B-POLITICIAN O O O O O
he warned the bbc that attacking mr campbell had brought it trouble before .,O O O O O O O B-POLITICIAN O O O O O O
"the affair prompted the resignation of bbc chairman ga ##vyn davies , director - general greg dyke and reporter andrew gill ##igan .",O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O
labour has attracted media criticism for using new freedom of information laws to dig up information about tory leader michael howard ' s past .,O O O O O O O O O O O O O O O O O O O B-POLITICIAN I-POLITICIAN O O O O
"mr man ##del ##son , a former labour communications director , told bbc radio 4 ' s today programme : "" i understand why the tori ##es will be gunn ##ing for ala ##sta ##ir campbell because they fear his campaigning skills .",O B-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O
""" i think the bbc would be much better advised to leave all this stuff well alone , concentrate on the issues as i say , not resume their demon ##isation of ala ##sta ##ir campbell - we all know where that led before .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O
"mr campbell is acting as an adviser for labour , which denies engaging in personal campaigning .",O B-POLITICIAN O O O O O O O O O O O O O O O
"conservative co - chairman liam fox said mr campbell ' s return and labour poster plans attacking mr howard - recently withdrawn from the party ' s website - were a sign of "" abusive politics "" .",O O O O B-POLITICIAN I-POLITICIAN O O B-POLITICIAN O O O O O O O O O B-POLITICIAN O O O O O O O O O O O O O O O O O O O
"labour peer baroness kennedy , who is chair ##ing the power inquiry into political di ##sen ##ga ##gement , said people already thought politicians engaged in dirty tricks .",O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O
"those charged included otis ferry , the 22 - year - old son of rock star bryan ferry and luke tom ##linson , 27 , a close friend of princes william and harry .",O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O B-MUSICIAN I-MUSICIAN O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O B-PUBLIC-FIGURE O B-PUBLIC-FIGURE O
"the men ' s solicitor matthew knight , said that at no time had it occurred to the men that they were committing a criminal offence .",O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O
"otis ferry , a former eton pupil and joint leader of the south shropshire hunt , said : "" i have no regrets .",B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O
"one of the men , david red ##vers , 34 , from hart ##pur ##y , gloucestershire , said he and the other seven protesters would plead not guilty to the charges .",O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O O
"the other protesters are john ho ##lli ##day , 37 , a hunts ##man from led ##bury , hereford ##shire , robert tha ##me , 34 , who plays polo with princes charles in team high ##grove , auction ##eer andrew elliot , 42 , from bro ##mes ##ber ##row , near led ##bury , point - to - point jockey richard wake ##ham , 34 , from york , and former royal chef nick wood , 41 .",O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O B-PUBLIC-FIGURE O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O
speaker michael martin later said the men had used a forged letter to gain access to the house of commons and had been helped to get close to the chamber by a parliamentary pass holder .,O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"soc ##ied ##ad set to rescue mla ##den ##ovic rangers are set to loan out - of - favour midfielder drag ##an mla ##den ##ovic to real soc ##ied ##ad , despite the closure of the january transfer window .",O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O
"mla ##den ##ovic will effectively replace former rangers midfielder mike ##l arte ##ta , who has been loaned to everton .",B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O
mla ##den ##ovic ' s loan move is subject to him passing a medical .,B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O
special permission from the spanish fa came after an injury to central defender igor ja ##ure ##gi .,O O O O O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O
