index,sentence,true_tags,predicted_tags,true_entities,predicted_entities
56,"wen ##ger initially refused to bite back , saying only : "" i will never answer any questions any more about this man . """,O O O O O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 0, 1)]"
57,but now he claims ferguson should be punished by the football association .,O O O O O O O O O O O O O,O O O O B-ATHLETE O O O O O O O O,[],"[('ATHLETE', 4, 4)]"
58,"the latest twist in the ferguson - wen ##ger saga came on saturday when the united boss , in an interview with the independent newspaper , discussed the events after the game between the two sides in october .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O B-BUSINESS-EXECUTIVE-MANAGER O O B-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 5, 5), ('BUSINESS-EXECUTIVE-MANAGER', 8, 8)]"
59,"united won 2 - 0 that day , at old trafford , but the game was followed by a now notorious food fight which saw ferguson ' s clothes covered in soup and pizza .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 25, 25)]"
61,"in the tunnel wen ##ger was critic ##ising my players , calling them cheat ##s , so i told him to leave them alone and behave himself , "" ferguson said on saturday . """,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('PUBLIC-FIGURE', 3, 4)]"
64,"it ' s a disgrace , but i don ' t expect wen ##ger to ever ap ##olo ##gis ##e , he ' s that type of person . """,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 12, 13)]"
65,"those allegations were put to wen ##ger after saturday ' s game at bolton , which arsenal lost to slip 10 points behind chelsea in the title race .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 5, 6)]"
73,"but later on saturday , according to the independent , wen ##ger spoke to a smaller group of reporters and expanded on his reaction . """,O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 10, 11)]"
83,"reminded that ferguson called him "" a disgrace "" , wen ##ger added : "" i don ' t respond to anything .",O O O O O O O O O O O O O O O O O O O O O O O,O O B-ATHLETE O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O,[],"[('ATHLETE', 2, 2), ('ATHLETE', 10, 11)]"
88,"but ferguson added : "" in the ensuing weeks all you got was a dia ##tri ##be from arsenal about being kicked off the pitch and all that nonsense .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O B-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 1, 1)]"
89,"gill phone ##d dei ##n three times to complain but nothing was done . """,O O O O O O O O O O O O O O O,B-AUTHOR-WRITER O O B-MUSICIAN I-MUSICIAN O O O O O O O O O O,[],"[('AUTHOR-WRITER', 0, 0), ('MUSICIAN', 3, 4)]"
91,"david gill and i feel we should set the record straight because arsenal have not written to us to ap ##olo ##gis ##e and we would not let that happen here . """,B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[('BUSINESS-EXECUTIVE-MANAGER', 0, 1)]","[('ATHLETE', 0, 1)]"
94,"wen ##ger later accused van ni ##ste ##lr ##oo ##y of "" cheating "" and was fined £1 ##5 , 000 and "" severely rep ##rim ##and ##ed "" by the football association .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE I-ATHLETE O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 0, 1), ('ATHLETE', 4, 9)]"
95,"ferguson admitted on saturday that van ni ##ste ##lr ##oo ##y ' s tackle , which earned the dutch ##man a ban , "" could have given ( cole ) a serious injury "" , but he believes arsenal were the main ag ##gre ##sso ##rs .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-BUSINESS-EXECUTIVE-MANAGER O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O B-ATHLETE O O O O O O O O O O O O O O O O O O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 0, 0), ('ATHLETE', 5, 10), ('ATHLETE', 28, 28)]"
96,""" wen ##ger is always complaining the match was not played in the right spirit , "" he added . """,O O O O O O O O O O O O O O O O O O O O O,O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 1, 2)]"
101,"but to wen ##ger it never happens , it is all some dream or nightmare . """,O O O O O O O O O O O O O O O O O,O O B-ATHLETE B-ACTOR-DIRECTOR O O O O O O O O O O O O O,[],"[('ATHLETE', 2, 2), ('ACTOR-DIRECTOR', 3, 3)]"
103,"despite moves to bring music download services to mobile ##s , people do not want to trade multimedia services with size and battery life , said jupiter .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O B-MUSICIAN O,[],"[('MUSICIAN', 26, 26)]"
104,"a separate study by ga ##rt ##ner has also said real - time tv broadcasts to mobile ##s is "" unlikely "" in europe until 2007 .",O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O B-BUSINESS-EXECUTIVE-MANAGER O B-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 4, 4), ('BUSINESS-EXECUTIVE-MANAGER', 6, 6)]"
109,"mobile phone music services must not be positioned to compete with the pc music experience as the hands ##ets are not yet ready , "" said thomas hu ##sson , mobile analyst at jupiter research . """,O O O O O O O O O O O O O O O O O O O O O O O O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O,"[('AUTHOR-WRITER', 26, 28)]","[('PUBLIC-FIGURE', 26, 28)]"
127,"people are also likely to be put off watching tv on such small screens , said ga ##rt ##ner .",O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 16, 18)]"
159,""" during 2004 we profit ##ed from the fact that the world economy was strong , "" said stefan sc ##hil ##be , analyst at hs ##bc tri ##nka ##us & bu ##rk ##hardt . """,O O O O O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O,"[('PUBLIC-FIGURE', 18, 21)]","[('BUSINESS-EXECUTIVE-MANAGER', 18, 21)]"
169,former scots guards ##man allan hen ##dry will challenge mr ingram .,O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O,O O O O B-PUBLIC-FIGURE O O O O O B-BUSINESS-EXECUTIVE-MANAGER O,"[('PUBLIC-FIGURE', 4, 6)]","[('PUBLIC-FIGURE', 4, 4), ('BUSINESS-EXECUTIVE-MANAGER', 10, 10)]"
198,"at its most mali ##gn , spy ##ware watches everything that people do with their pc and steals log ##in information and other personal data .",O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O,[],"[('PUBLIC-FIGURE', 6, 7)]"
201,stevens named in england line - up england have named bath prop matt stevens in the starting line - up for their six nations match against ireland at lan ##sd ##own ##e road on sunday .,O O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O,"[('ATHLETE', 12, 13)]","[('ATHLETE', 0, 0), ('ATHLETE', 12, 13)]"
203,it will be stevens ' first start after two caps as a replacement against the all blacks last year .,O O O O O O O O O O O O O O O O O O O O,O O O B-ATHLETE O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 3, 3)]"
205,"stevens takes over from phil vic ##ker ##y , who suffered a broken arm playing for gloucester last weekend . """,O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O,B-PUBLIC-FIGURE O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O,"[('ATHLETE', 4, 7)]","[('PUBLIC-FIGURE', 0, 0), ('ATHLETE', 4, 7)]"
206,"i ' m confident matt will grasp this opportunity and make his mark against ireland , "" said robinson .",O O O O O O O O O O O O O O O O O O O O,O O O O B-ATHLETE O O O O O O O O O O O O O B-PUBLIC-FIGURE O,[],"[('ATHLETE', 4, 4), ('PUBLIC-FIGURE', 18, 18)]"
207,""" all three players have shown outstanding form of late , most recently in the england a win against france a and for their club , "" added robinson . """,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ATHLETE O O,[],"[('ATHLETE', 28, 28)]"
208,"selection beck ##ons when players demonstrate such consistent ability . """,O O O O O O O O O O O,O B-ATHLETE I-ATHLETE O O O O O O O O,[],"[('ATHLETE', 1, 2)]"
216,it is expected to match the 30 . 7 ##bn yen ( £1 ##57 ##m ) record of hay ##ao mi ##ya ##zaki ' s previous film spirited away .,O O O O O O O O O O O O O O O O O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O O,O O O O O O O O O O O O O O O O O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O,"[('ACTOR-DIRECTOR', 18, 22)]","[('ACTOR-DIRECTOR', 18, 24)]"
219,"it was followed by harry potter and the prisoner of az ##ka ##ban , finding ne ##mo and the lord of the rings : the return of the king .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O B-ACTOR-DIRECTOR B-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('ACTOR-DIRECTOR', 4, 4), ('AUTHOR-WRITER', 5, 5)]"
225,johnson announces june retirement former england captain martin johnson has announced he is to retire from rugby union at the end of the season .,O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O,B-ATHLETE O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O,"[('ATHLETE', 7, 8)]","[('ATHLETE', 0, 0), ('ATHLETE', 7, 8)]"
226,"johnson , who captained england to world cup glory in 2003 , will play his final match in june .",O O O O O O O O O O O O O O O O O O O O,B-ATHLETE O O O O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 0, 0)]"
227,"johnson won 84 england caps and quit test rugby at the start of 2004 , just two months after leading sir clive woodward ' s team to victory in sydney .",O O O O O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O,"[('ATHLETE', 20, 22)]","[('ATHLETE', 21, 22)]"
229,"i ' m confident i have made the right decision to retire , "" said johnson . """,O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O B-ATHLETE O O,[],"[('ATHLETE', 15, 15)]"
232,"johnson will always be revered by england fans for captain ##ing england to their dramatic world cup win against australia in sydney , but his list of achievements does not stop at that .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 0, 0)]"
234,"johnson also had huge success as captain of leicester , guiding the tigers to back to back he ##ine ##ken cup victories and several premiership titles .",O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 0, 0)]"
235,apart from his marvel ##lous captain ##cy johnson was also one of the finest second rows to ever play the game .,O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O B-ATHLETE O O O O O O O O O O O O O O,[],"[('ATHLETE', 7, 7)]"
236,"tea ##k tough and physically intimidating , he ruled the ru ##cks and ma ##uls for the best part of a decade and was integral in england ' s rise to the top of the world game .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 0, 1)]"
238,"the all black is aiming to return to action after a kidney transplant and johnson expects it to be a memorable occasion . """,O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O B-ATHLETE O O O O O O O O O,[],"[('ATHLETE', 14, 14)]"
239,"this game against jonah will be a great way to end the season and end my career , "" said johnson .",O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O B-ATHLETE O,[],"[('ATHLETE', 20, 20)]"
240,"lo ##mu , rugby union ' s first global superstar after his exploits in the 1995 world cup , said he was proud to be part of johnson ' s farewell . """,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O B-ATHLETE O O O O O,[],"[('ATHLETE', 0, 1), ('ATHLETE', 27, 27)]"
241,"we hold him in such high esteem , "" said lo ##mu . """,O O O O O O O O O O O O O O,O O O O O O O O O O B-ATHLETE I-ATHLETE O O,[],"[('ATHLETE', 10, 11)]"
251,"the newspaper also claimed mr se ##ifer ##t was becoming "" increasingly frustrated "" with the pace of negotiations since deutsche boer ##se ' s £1 . 3 ##bn offer was rejected in mid - december , in particular the l ##se ' s decision to suspend talks over the christmas period .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 5, 7)]"
257,spears seeks ab ##orted tour payment singer britney spears is sui ##ng eight insurance companies that have refused to rei ##mb ##urse her for cancel ##ling her 2004 world tour .,O O O O O O O B-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O O O O O O O,B-MUSICIAN O O O O O O B-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O O O O O O O,"[('MUSICIAN', 7, 8)]","[('MUSICIAN', 0, 0), ('MUSICIAN', 7, 8)]"
265,"the legal submission described spears as "" one of the most recognised performers in her industry "" .",O O O O O O O O O O O O O O O O O O,O O O O B-MUSICIAN O O O O O O O O O O O O O,[],"[('MUSICIAN', 4, 4)]"
266,"the on ##yx hotel tour was cited as "" a highly crafted production which included the well - known music and dancing of spears , supported by elaborate costumes , complex choreography as well as cutting - edge video production , lighting and other effects "" .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O B-MUSICIAN O O O O O O O O O O O O O O O O O O O O O O O,[],"[('MUSICIAN', 23, 23)]"
267,"in september spears married kevin fed ##er ##line , who had been a dancer on the ab ##orted tour .",O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O O O O O O,O O B-MUSICIAN O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O,"[('MUSICIAN', 4, 7)]","[('MUSICIAN', 2, 2), ('PUBLIC-FIGURE', 4, 7)]"
303,"the fourth series of the show peaked on monday at 11 . 9 ##m and 49 . 2 % of the audience , just before joe pas ##qual ##e won .",O O O O O O O O O O O O O O O O O O O O O O O O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O,O O O O O O O O O O O O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O,"[('ACTOR-DIRECTOR', 25, 28)]","[('PUBLIC-FIGURE', 25, 28)]"
304,this compared with a peak of 15 . 3 ##m at and a record 62 . 2 % of the tv audience when kerry mc ##fa ##dden won in february .,O O O O O O O O O O O O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O,O O O O O O O O O O O O O O O O O O O O O O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O,"[('MUSICIAN', 23, 26)]","[('ACTOR-DIRECTOR', 23, 26)]"
305,"comic pas ##qual ##e beat former royal butler paul burr ##ell who came second , nightclub owner fran co ##sg ##rave , who was third .",O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O,O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O,"[('PUBLIC-FIGURE', 8, 10), ('BUSINESS-EXECUTIVE-MANAGER', 17, 20)]","[('ACTOR-DIRECTOR', 1, 3), ('PUBLIC-FIGURE', 8, 10), ('PUBLIC-FIGURE', 17, 20)]"
306,"pas ##qual ##e follows kerry mc ##fa ##dden , phil tu ##f ##nell and tony blackburn as winners of the show .",O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O,O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O,"[('MUSICIAN', 4, 7), ('ATHLETE', 9, 12), ('PUBLIC-FIGURE', 14, 15)]","[('PUBLIC-FIGURE', 4, 7), ('PUBLIC-FIGURE', 9, 12), ('PUBLIC-FIGURE', 14, 15)]"
307,singer and tv presenter mc ##fa ##dden was the show ' s first female winner .,O O O O O O O O O O O O O O O O,O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O O O,[],"[('MUSICIAN', 4, 6)]"
310,"pas ##qual ##e had been the show ' s hottest ever favourite to win , and its hosts anthony mc ##par ##tl ##in and declan donnelly , known as ant and dec , said monday ' s deciding vote was the closest in the programme ' s history .",O O O O O O O O O O O O O O O O O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O B-ACTOR-DIRECTOR O O O O O O O O O O O O O O O O O O O,"[('ACTOR-DIRECTOR', 18, 22), ('ACTOR-DIRECTOR', 24, 25)]","[('PUBLIC-FIGURE', 18, 22), ('ACTOR-DIRECTOR', 24, 25), ('ACTOR-DIRECTOR', 29, 29)]"
315,there are a number of things joe wants to do .,O O O O O O O O O O O,O O O O O O B-ATHLETE O O O O,[],"[('ATHLETE', 6, 6)]"
