sub_category,sentence,ner_entities
Athletics,Idowu made his breakthrough five years ago but so far has only a Commonwealth silver medal to his name.,"[{""text"": "" Idowu"", ""label"": ""PERSON""}]"
Athletics,Edwards himself kept Idowu off top spot at the Manchester Games.,"[{""text"": "" Edwards"", ""label"": ""PERSON""}, {""text"": "" Idowu"", ""label"": ""PERSON""}]"
Athletics,"He has to start producing at international level and here is the beginning,"" said Edwards. ""","[{""text"": "" Edwards"", ""label"": ""PERSON""}]"
Athletics,Phillips still needs to be much more consistent.,"[{""text"": "" Phillips"", ""label"": ""PERSON""}]"
Athletics,Olympic champion Christian Olsson will not be taking part as he is out for the entire indoor season with an ankle injury.,"[{""text"": "" Christian Olsson"", ""label"": ""PERSON""}]"
Theatre,"Oscar nominees gear up for lunch

Leonardo DiCaprio, Jamie Foxx and Hilary Swank are among those due to attend this year's Oscar nominees luncheon on Monday.","[{""text"": ""Leonardo DiCaprio"", ""label"": ""PERSON""}, {""text"": "" Jamie Foxx"", ""label"": ""PERSON""}, {""text"": "" Hilary Swank"", ""label"": ""PERSON""}]"
Theatre,"British hopefuls, including Kate Winslet, Imelda Staunton and Sophie Okonedo are also expected to attend.","[{""text"": "" Kate Winslet"", ""label"": ""PERSON""}, {""text"": "" Imelda Staunton"", ""label"": ""PERSON""}, {""text"": "" Sophie Okonedo"", ""label"": ""PERSON""}]"
Theatre,"Martin Scorsese's The Aviator is leading the field at this year's Oscars with 11 nominations, while other multiple nominees include Million Dollar Baby and Sideways.","[{""text"": "" Martin Scorsese"", ""label"": ""PERSON""}]"
Theatre,"Oscar nominees Swank and Foxx were among the winners at the Screen Actors Guild awards at the weekend, one of the many ceremonies held in the run-up to the Oscars.","[{""text"": "" Swank"", ""label"": ""PERSON""}, {""text"": "" Foxx"", ""label"": ""PERSON""}]"
Theatre,Swank won Best Actress for Million Dollar Baby while Foxx triumphed for his performance as Ray Charles in the biopic Ray.,"[{""text"": "" Swank"", ""label"": ""PERSON""}, {""text"": "" Foxx"", ""label"": ""PERSON""}, {""text"": "" Ray Charles"", ""label"": ""PERSON""}]"
Theatre,"Many of those nominated for Oscars including DiCaprio, Foxx and Staunton - an Oscar nominee for her performance in Vera Drake - have also been nominated for Baftas.","[{""text"": "" DiCaprio"", ""label"": ""PERSON""}, {""text"": "" Foxx"", ""label"": ""PERSON""}, {""text"": "" Staunton"", ""label"": ""PERSON""}, {""text"": "" Drake"", ""label"": ""PERSON""}]"
Football,"Wenger offers Mutu hope

Arsenal boss Arsene Wenger would consider signing Adrian Mutu once the striker has served his drugs ban.","[{""text"": "" Wenger"", ""label"": ""PERSON""}, {""text"": "" Mutu"", ""label"": ""PERSON""}, {""text"": "" Arsene Wenger"", ""label"": ""PERSON""}, {""text"": "" Adrian Mutu"", ""label"": ""PERSON""}]"
Football,Mutu was sacked by Chelsea on Friday after testing positive for cocaine - a move Wenger has backed.,"[{""text"": "" Mutu"", ""label"": ""PERSON""}, {""text"": "" Wenger"", ""label"": ""PERSON""}]"
Football,Mutu faces a ban of between six months and two years when the Football Association decides on his punishment.,"[{""text"": "" Mutu"", ""label"": ""PERSON""}]"
Football,"But Mutu has hit out at the club's decision, saying: ""Chelsea have destroyed me.""","[{""text"": "" Mutu"", ""label"": ""PERSON""}]"
Football,"And Mutu agreed, adding: ""It is unfair.","[{""text"": "" Mutu"", ""label"": ""PERSON""}]"
Cinema,"Levy tipped for Whitbread prize

Novelist Andrea Levy is favourite to win the main Whitbread Prize book of the year award, after winning novel of the year with her book Small Island.","[{""text"": "" Levy"", ""label"": ""PERSON""}, {""text"": "" Andrea Levy"", ""label"": ""PERSON""}]"
Cinema,"Second favourite is a biography of Mary Queen of Scots, by John Guy.","[{""text"": "" Mary Queen of Scots"", ""label"": ""PERSON""}, {""text"": "" John Guy"", ""label"": ""PERSON""}]"
Cinema,"A panel of judges including Sir Trevor McDonald, actor Hugh Grant and writer Joanne Harris will decide the overall winner on Tuesday.","[{""text"": "" Trevor McDonald"", ""label"": ""PERSON""}, {""text"": "" Hugh Grant"", ""label"": ""PERSON""}, {""text"": "" Joanne Harris"", ""label"": ""PERSON""}]"
Cinema,"Small Island, Levy's fourth novel, is set in post-war London and centres on a landlady and her lodgers.","[{""text"": "" Levy"", ""label"": ""PERSON""}]"
Cinema,"One is a Jamaican who joined British troops to fight Hitler but finds life difficult out of uniform when he settles in the UK. ""","[{""text"": "" Hitler"", ""label"": ""PERSON""}]"
Cinema,"The judges called Guy's My Heart is My Own: The Life of Mary Queen of Scots ""an impressive and readable piece of scholarship, which cannot fail but leave the reader moved and intrigued by this most tragic and likeable of queens"".","[{""text"": "" Guy"", ""label"": ""PERSON""}, {""text"": "" Mary Queen of Scots"", ""label"": ""PERSON""}]"
Cinema,"Guy has published many histories, including one of Tudor England.","[{""text"": "" Guy"", ""label"": ""PERSON""}]"
Cinema,"The other contenders include Susan Fletcher for Eve Green, which won the first novel prize.","[{""text"": "" Susan Fletcher"", ""label"": ""PERSON""}]"
Cinema,Fletcher has recently graduated from the University of East Anglia's creative writing course.,"[{""text"": "" Fletcher"", ""label"": ""PERSON""}]"
Cinema,"The fourth book in the running is Corpus, Michael Symmons Roberts' fourth collection of poems.","[{""text"": "" Michael Symmons Roberts"", ""label"": ""PERSON""}]"
Cinema,"As well as writing poetry, Symmons Roberts also makes documentary films.","[{""text"": "" Symmons Roberts"", ""label"": ""PERSON""}]"
Cinema,"Geraldine McCaughrean is the final contender, having won the children's fiction category for the third time for Not the End of the World.","[{""text"": "" Geraldine McCaughrean"", ""label"": ""PERSON""}]"
Cinema,"McCaughrean, who went into magazine publishing after studying teaching, previously won the category in 1987 with A Little Lower than Angels and in 1994 with Gold Dust.","[{""text"": "" McCaughrean"", ""label"": ""PERSON""}]"
Tech,"The key new technologies applied in the world's fastest elevators include:


 - A pressure control system, which adjusts the atmospheric pressure inside a car by using suction and discharge blowers, preventing ""ear popping"" 
 - An active control system which tries to balance the lift more finely and remove the sources of vibrations 
 - Streamlined cars to reduce the whistling noise produced by running the lifts at a high speed inside a narrow shaft 
 

""The certification of our elevators as world record-holders by the authoritative Guinness World Records is a great honour for us,"" said Masayuki Shimono, president of manufacturer Toshiba Elevator and Building Systems which installed the lifts.","[{""text"": "" Masayuki Shimono"", ""label"": ""PERSON""}]"
Tech,"As such, it is an interesting indicator of how technology has advanced in the 50 years since that first edition, when the record was 426m per minute, or 25.6 km/h, less than half the speed of the new record,"" said Hein Le Roux, specialist researcher at the Guinness World Records.","[{""text"": "" Hein Le Roux"", ""label"": ""PERSON""}]"
Politics,"Labour's Cunningham to stand down

Veteran Labour MP and former Cabinet minister Jack Cunningham has said he will stand down at the next election.","[{""text"": "" Cunningham"", ""label"": ""PERSON""}, {""text"": "" Jack Cunningham"", ""label"": ""PERSON""}]"
Politics,"One of the few Blair-era ministers to serve under Jim Callaghan, he was given the agriculture portfolio when Labour regained power in 1997.","[{""text"": "" Jim Callaghan"", ""label"": ""PERSON""}]"
Politics,"Mr Cunningham went on to become Tony Blair's ""cabinet enforcer"".","[{""text"": "" Cunningham"", ""label"": ""PERSON""}, {""text"": "" Tony Blair"", ""label"": ""PERSON""}]"
Politics,"Mr Blair said he was a ""huge figure"" in Labour and a ""valued, personal friend"".","[{""text"": "" Blair"", ""label"": ""PERSON""}]"
Politics,"During Labour's long period in opposition, Mr Cunningham held a number of shadow roles including foreign affairs, the environment and as trade spokesman.","[{""text"": "" Cunningham"", ""label"": ""PERSON""}]"
Music,"Chief executive Jim Skinner attributed an 8.3% increase in January worldwide sales to the ""vitality of our menu"", among other things.","[{""text"": "" Jim Skinner"", ""label"": ""PERSON""}]"
Music,"The programme can at present only been seen in the US, where it has featured artists like British stars Joss Stone and Franz Ferdinand.","[{""text"": "" Joss Stone"", ""label"": ""PERSON""}, {""text"": "" Franz Ferdinand"", ""label"": ""PERSON""}]"
Music,"McDonald's has targeted the youth market in the past with its advertisements, signing up stars like jelly-legged dancer Justin Timberlake and all-woman singing group Destiny's Child.","[{""text"": "" Justin Timberlake"", ""label"": ""PERSON""}]"
Stock Market,"We are not scared to take this to its conclusion this time,"" Atticus' David Slager told the Sunday Times.","[{""text"": "" David Slager"", ""label"": ""PERSON""}]"
Stock Market,The Sunday Times reported that TCI had been drawing up a list of heavyweight executives to replace Deutsche's chairman Rolf Breuer and chief executive Werner Seifert.,"[{""text"": "" Rolf Breuer"", ""label"": ""PERSON""}, {""text"": "" Werner Seifert"", ""label"": ""PERSON""}]"
Politics,"Lord Scarman, 93, dies peacefully

Distinguished lawyer Lord Scarman, who conducted the inquiry into the 1981 Brixton riots, has died aged 93.","[{""text"": "" Scarman"", ""label"": ""PERSON""}, {""text"": "" Scarman"", ""label"": ""PERSON""}]"
Politics,"Paying tribute, the Lord Chancellor Lord Falconer said Lord Scarman was one of the ""great advocates of our generation"".","[{""text"": "" Falconer"", ""label"": ""PERSON""}, {""text"": "" Scarman"", ""label"": ""PERSON""}]"
Politics,"Lord Scarman's nephew George Ritchie said the peer, who passed away peacefully on Wednesday, would be ""sadly missed"".","[{""text"": "" Scarman"", ""label"": ""PERSON""}, {""text"": "" George Ritchie"", ""label"": ""PERSON""}]"
Politics,"The Lord Chief Justice, Lord Woolf, who is the most senior judge in England and Wales, said it was Lord Scarman's ""pioneering work"" which paved the way for the Human Rights Act 1998. ""","[{""text"": "" Woolf"", ""label"": ""PERSON""}, {""text"": "" Scarman"", ""label"": ""PERSON""}]"
Politics,"Dame Elizabeth Butler-Sloss, the president of the Family Justice Division, said Lord Scarman was a ""good and humane judge"" and one of the greatest figures of the late 20th century.","[{""text"": "" Elizabeth Butler-Sloss"", ""label"": ""PERSON""}, {""text"": "" Scarman"", ""label"": ""PERSON""}]"
Politics,Lord Scarman will be remembered for the public inquiry he led into a string of race riots which began in Brixton when racial tensions rose after a police crackdown on street robbery.,"[{""text"": "" Scarman"", ""label"": ""PERSON""}]"
Politics,"Trevor Phillips, chair of the Commission for Racial Equality, praised Lord Scarman's ""ability to listen"".","[{""text"": "" Trevor Phillips"", ""label"": ""PERSON""}, {""text"": "" Scarman"", ""label"": ""PERSON""}]"
Politics,"He said: ""When Lord Scarman toured the streets of Brixton his presence was electrifying. ""","[{""text"": "" Scarman"", ""label"": ""PERSON""}]"
Company News,"Lady Hale, sitting with Lords Bingham, Steyn, Hope and Carswell, said many Roma had good reason to want to leave the Czech Republic because of persecution.","[{""text"": "" Hale"", ""label"": ""PERSON""}, {""text"": "" Bingham"", ""label"": ""PERSON""}, {""text"": "" Steyn"", ""label"": ""PERSON""}, {""text"": "" Hope"", ""label"": ""PERSON""}, {""text"": "" Carswell"", ""label"": ""PERSON""}]"
Company News,"Lady Hale said immigration officers should have treated all would-be passengers in the same way, only using more intrusive questioning if there was a specific reason.","[{""text"": "" Hale"", ""label"": ""PERSON""}]"
Company News,"Welcoming the ruling, Maeve Sherlock, chief executive of the Refugee Council, said: ""Human rights abuses against the Roma in Eastern Europe are well documented, and it is hugely troubling that the government sought to deny entry to such a vulnerable group.""","[{""text"": "" Maeve Sherlock"", ""label"": ""PERSON""}]"
Company News,"Amnesty International's Jan Shaw said: ""That the government's own asylum policy was being operated discriminatorily is bleakly ironic given that discrimination often lies at the heart of serious human rights abuse, not least in the Czech Republic.""","[{""text"": "" Jan Shaw"", ""label"": ""PERSON""}]"
Company News,"But the chairman of Migration Watch UK, Sir Andrew Green, said the House of Lords decision was a ""step in the wrong direction"". ""","[{""text"": "" Andrew Green"", ""label"": ""PERSON""}]"
Athletics,"Chepkemei hit by big ban

Kenya's athletics body has suspended two-time London Marathon runner-up Susan Chepkemei from all competition until the end of the year.","[{""text"": "" Chepkemei"", ""label"": ""PERSON""}, {""text"": "" Susan Chepkemei"", ""label"": ""PERSON""}]"
Athletics,"Athletics Kenya (AK) issued the ban after Chepkemei failed to turn up for a cross country training camp in Embu. ""","[{""text"": "" Chepkemei"", ""label"": ""PERSON""}]"
Athletics,"We have banned her from all local and international competitions,"" said AK chief Isaiah Kiplagat. ""","[{""text"": "" Isaiah Kiplagat"", ""label"": ""PERSON""}]"
Athletics,"The 29-year-old finished second to Paula Radcliffe in the 2002 and 2003 London races, and was also edged out in an epic New York Marathon contest last year.","[{""text"": "" Paula Radcliffe"", ""label"": ""PERSON""}]"
Athletics,But the ban will prevent the two-time world half-marathon silver medallist from challenging Radcliffe at this year's London event in April.,"[{""text"": "" Radcliffe"", ""label"": ""PERSON""}]"
Athletics,"Global Sports Communications, Chepkemei's management company, said she had wanted to run in the World Cross Country Championships in March.","[{""text"": "" Chepkemei"", ""label"": ""PERSON""}]"
Athletics,"But AK maintained it was making an example of Chepkemei as a warning to other Kenyan athletes. ""","[{""text"": "" Chepkemei"", ""label"": ""PERSON""}]"
Athletics,"We are taking this action in order to salvage our pride,"" said Kiplagat. ""","[{""text"": "" Kiplagat"", ""label"": ""PERSON""}]"
Athletics,KA has also threatened three-time women's short-course champion Edith Masai with a similar ban if reports that she feigned injury to avoid running at the cross country world championships are true.,"[{""text"": "" Edith Masai"", ""label"": ""PERSON""}]"
Athletics,"Masai missed the national trials in early February, but was included in the provisional team on the proviso that she ran in a regional competition.","[{""text"": "" Masai"", ""label"": ""PERSON""}]"
Economy,"Israeli club look to Africa

Four African players, including Zimbabwe goalkeeper Energy Murambadoro, are all ready to play for Israeli club Hapoel Bnei Sakhnin in the Uefa Cup.","[{""text"": "" Energy Murambadoro"", ""label"": ""PERSON""}]"
Economy,"Warriors' goalkeeper Murambadoro, who made a name for himself at the African Nations Cup finals in Tunisia, helped Bnei Sakhnin overcome Albania's Partizani Tirana 6-1 in the previous round.","[{""text"": "" Murambadoro"", ""label"": ""PERSON""}]"
Economy,Murambadoro moved to Israel recently after a brief stint with South African club Hellenic.,"[{""text"": "" Murambadoro"", ""label"": ""PERSON""}]"
Economy,"The three other Africans at the club are former Cameroon defender Ernest Etchi, DR Congo's Alain Masudi and Nigerian midfielder Edith Agoye, who had a stint with Tunisian side Esperance.","[{""text"": "" Ernest Etchi"", ""label"": ""PERSON""}, {""text"": "" Alain Masudi"", ""label"": ""PERSON""}, {""text"": "" Edith Agoye"", ""label"": ""PERSON""}]"
Politics,"Mandelson warning to BBC

The BBC should steer away from ""demonising"" ex-Downing Street media chief Alastair Campbell, Peter Mandelson has said.","[{""text"": "" Mandelson"", ""label"": ""PERSON""}, {""text"": "" Alastair Campbell"", ""label"": ""PERSON""}, {""text"": "" Peter Mandelson"", ""label"": ""PERSON""}]"
Politics,"The European commissioner and former Labour minister was speaking amid claims that Mr Campbell is part of a Labour ""dirty tricks"" campaign.","[{""text"": "" Campbell"", ""label"": ""PERSON""}]"
Politics,"That charge was denied by Mr Mandelson, who said the Tories were afraid of Mr Campbell's campaigning skills.","[{""text"": "" Mandelson"", ""label"": ""PERSON""}, {""text"": "" Campbell"", ""label"": ""PERSON""}]"
Politics,He warned the BBC that attacking Mr Campbell had brought it trouble before.,"[{""text"": "" Campbell"", ""label"": ""PERSON""}]"
Politics,"That was a reference to the Hutton inquiry following a BBC story claiming Downing Street ""sexed up"" Iraq's weapons of mass destruction dossier.","[{""text"": "" Hutton"", ""label"": ""PERSON""}]"
Politics,"The affair prompted the resignation of BBC chairman Gavyn Davies, director-general Greg Dyke and reporter Andrew Gilligan.","[{""text"": "" Gavyn Davies"", ""label"": ""PERSON""}, {""text"": "" Greg Dyke"", ""label"": ""PERSON""}, {""text"": "" Andrew Gilligan"", ""label"": ""PERSON""}]"
Politics,Labour has attracted media criticism for using new freedom of information laws to dig up information about Tory leader Michael Howard's past.,"[{""text"": "" Michael Howard"", ""label"": ""PERSON""}]"
Politics,"Mr Mandelson, a former Labour communications director, told BBC Radio 4's Today programme: ""I understand why the Tories will be gunning for Alastair Campbell because they fear his campaigning skills. ""","[{""text"": "" Mandelson"", ""label"": ""PERSON""}, {""text"": "" Alastair Campbell"", ""label"": ""PERSON""}]"
Politics,"I think the BBC would be much better advised to leave all this stuff well alone, concentrate on the issues as I say, not resume their demonisation of Alastair Campbell - we all know where that led before.""","[{""text"": "" Alastair Campbell"", ""label"": ""PERSON""}]"
Politics,"Mr Campbell is acting as an adviser for Labour, which denies engaging in personal campaigning.","[{""text"": "" Campbell"", ""label"": ""PERSON""}]"
Politics,"Conservative co-chairman Liam Fox said Mr Campbell's return and Labour poster plans attacking Mr Howard - recently withdrawn from the party's website - were a sign of ""abusive politics"". ""","[{""text"": "" Liam Fox"", ""label"": ""PERSON""}, {""text"": "" Campbell"", ""label"": ""PERSON""}, {""text"": "" Howard"", ""label"": ""PERSON""}]"
Politics,"Labour peer Baroness Kennedy, who is chairing the Power Inquiry into political disengagement, said people already thought politicians engaged in dirty tricks. ""","[{""text"": "" Kennedy"", ""label"": ""PERSON""}]"
Company News,"Those charged included Otis Ferry, the 22-year-old son of rock star Bryan Ferry and Luke Tomlinson, 27, a close friend of princes William and Harry.","[{""text"": "" Otis Ferry"", ""label"": ""PERSON""}, {""text"": "" Bryan Ferry"", ""label"": ""PERSON""}, {""text"": "" Luke Tomlinson"", ""label"": ""PERSON""}, {""text"": "" William"", ""label"": ""PERSON""}, {""text"": "" Harry"", ""label"": ""PERSON""}]"
Company News,"The men's solicitor Matthew Knight, said that at no time had it occurred to the men that they were committing a criminal offence.","[{""text"": "" Matthew Knight"", ""label"": ""PERSON""}]"
Company News,"Otis Ferry, a former Eton pupil and joint leader of the South Shropshire Hunt, said: ""I have no regrets. ""","[{""text"": "" Otis Ferry"", ""label"": ""PERSON""}]"
Company News,"One of the men, David Redvers, 34, from Hartpury, Gloucestershire, said he and the other seven protesters would plead not guilty to the charges.","[{""text"": "" David Redvers"", ""label"": ""PERSON""}]"
Company News,"The other protesters are John Holliday, 37, a huntsman from Ledbury, Herefordshire, Robert Thame, 34, who plays polo with Princes Charles in Team Highgrove, auctioneer Andrew Elliot, 42, from Bromesberrow, near Ledbury, point-to-point jockey Richard Wakeham, 34, from York, and former royal chef Nick Wood, 41.","[{""text"": "" John Holliday"", ""label"": ""PERSON""}, {""text"": "" Robert Thame"", ""label"": ""PERSON""}, {""text"": "" Charles"", ""label"": ""PERSON""}, {""text"": "" Andrew Elliot"", ""label"": ""PERSON""}, {""text"": "" Richard Wakeham"", ""label"": ""PERSON""}, {""text"": "" Nick Wood"", ""label"": ""PERSON""}]"
Company News,Speaker Michael Martin later said the men had used a forged letter to gain access to the House of Commons and had been helped to get close to the chamber by a parliamentary pass holder.,"[{""text"": "" Michael Martin"", ""label"": ""PERSON""}]"
Football,"Sociedad set to rescue Mladenovic

Rangers are set to loan out-of-favour midfielder Dragan Mladenovic to Real Sociedad, despite the closure of the January transfer window.","[{""text"": "" Mladenovic"", ""label"": ""PERSON""}, {""text"": "" Dragan Mladenovic"", ""label"": ""PERSON""}]"
Football,"Mladenovic will effectively replace former Rangers midfielder Mikel Arteta, who has been loaned to Everton.","[{""text"": "" Mladenovic"", ""label"": ""PERSON""}, {""text"": "" Mikel Arteta"", ""label"": ""PERSON""}]"
Football,Mladenovic's loan move is subject to him passing a medical.,"[{""text"": "" Mladenovic"", ""label"": ""PERSON""}]"
Football,Special permission from the Spanish FA came after an injury to central defender Igor Jauregi.,"[{""text"": "" Igor Jauregi"", ""label"": ""PERSON""}]"
Football,The versatile Mladenovic can also play in the back four.,"[{""text"": "" Mladenovic"", ""label"": ""PERSON""}]"
Football,Mladenovic's time at Ibrox has been plagued with injury and he has made just six starts in six months with the Glasgow club.,"[{""text"": "" Mladenovic"", ""label"": ""PERSON""}]"
Politics,"On Monday, Tony Blair's official spokesman declined to say whether the prime minister backed the plans.","[{""text"": "" Tony Blair"", ""label"": ""PERSON""}]"
Politics,"Dave Prentis, general secretary of Unison, said changes to pension provisions for workers in the public sector would mean they had to pay in more but would still face a raw deal. ""","[{""text"": "" Dave Prentis"", ""label"": ""PERSON""}]"
Politics,Mr Prentis said workers did not want to go on strike and called for talks between unions and the highest level of government.,"[{""text"": "" Prentis"", ""label"": ""PERSON""}]"
Politics,"Mark Serwotka, from the Public and Commercial Services union said there should be a co-ordinated one day strike unless there was a government rethink.","[{""text"": "" Mark Serwotka"", ""label"": ""PERSON""}]"
Politics,"Pensions officer Paul Woolstenholmes said: ""The pensions of millions of public sector workers are under threat - apart from MPs and judges who have the most generous pensions arrangements in the country.""","[{""text"": "" Paul Woolstenholmes"", ""label"": ""PERSON""}]"
Politics,"MP's shock at long lost daughter

Labour MP Stephen Pound has told of his shock and his joy on learning he fathered a daughter when he was ""out of control"" during the ""wild"" 1960s.","[{""text"": "" Stephen Pound"", ""label"": ""PERSON""}]"
Politics,"Lucy, 36, tracked down Mr Pound after her birth mother told her he was known as ""Precious"" at school.","[{""text"": "" Lucy"", ""label"": ""PERSON""}, {""text"": "" Pound"", ""label"": ""PERSON""}, {""text"": ""Precious"", ""label"": ""PERSON""}]"
Politics,"Despite being told he was a ""nutter who died at sea"" she found a reference to Mr Pound on Friends Reunited.","[{""text"": "" Pound"", ""label"": ""PERSON""}]"
Politics,Lucy's mother kept her pregnancy secret and had her adopted at four weeks.,"[{""text"": "" Lucy"", ""label"": ""PERSON""}]"
Politics,Mr Pound found out about it last year.,"[{""text"": "" Pound"", ""label"": ""PERSON""}]"
Politics,That happened when Lucy wrote to his Parliamentary office saying she believed he was her father.,"[{""text"": "" Lucy"", ""label"": ""PERSON""}]"
Politics,"Mr Pound, who is now married with two other teenage children, said: ""I was a nutter and I was a sailor but I wasn't dead.""","[{""text"": "" Pound"", ""label"": ""PERSON""}]"
Politics,I don't blame Lucy's mother.,"[{""text"": "" Lucy"", ""label"": ""PERSON""}]"
Politics,"Mr Pound says he rang Lucy as soon as he got her letter, they met up and have been in contact ever since.","[{""text"": "" Pound"", ""label"": ""PERSON""}, {""text"": "" Lucy"", ""label"": ""PERSON""}]"
Politics,"Lucy, who was adopted by a family from Essex, wants to remain anonymous for the sake of her adoptive father and her children.","[{""text"": "" Lucy"", ""label"": ""PERSON""}]"
Politics,"Mr Pound said his wife Maggie had been fully supportive and their two children Emily, 16, and Pelham, 14 were pleased to have an older sister.","[{""text"": "" Pound"", ""label"": ""PERSON""}, {""text"": "" Maggie"", ""label"": ""PERSON""}, {""text"": "" Emily"", ""label"": ""PERSON""}, {""text"": "" Pelham"", ""label"": ""PERSON""}]"
Football,"Lee Miller scored inside the opening 60 seconds, heading over Colin Meldrum and into the net from a Jamie McAllister free kick.","[{""text"": "" Lee Miller"", ""label"": ""PERSON""}, {""text"": "" Colin Meldrum"", ""label"": ""PERSON""}, {""text"": "" Jamie McAllister"", ""label"": ""PERSON""}]"
Football,McAllister himself scored the second when he met Saul Mikoliunas' cross at the back post to put the game beyond the visitors.,"[{""text"": "" McAllister"", ""label"": ""PERSON""}, {""text"": "" Saul Mikoliunas"", ""label"": ""PERSON""}]"
Football,Craig Easton headed in a controversial goal after an hour but Hearts held on.,"[{""text"": "" Craig Easton"", ""label"": ""PERSON""}]"
Football,The opening goal came after Gus Bahoken had clumsily fouled Miller 35 yards from goal.,"[{""text"": "" Gus Bahoken"", ""label"": ""PERSON""}, {""text"": "" Miller"", ""label"": ""PERSON""}]"
