tokens,ner_tags,keyword
"ĠAccept ing Ġhis Ġbest Ġdramatic Ġactor Ġprize , ĠDi Cap rio Ġdescribed Ġdirector ĠMartin ĠSc ors ese Ġas Ġ"" one Ġof Ġthe Ġgreatest Ġcontributors Ġto Ġthe Ġworld Ġof Ġcinema Ġof Ġall Ġtime "".",O O O O O O O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O O O O O O O O O O O,NONE
"ĠBut ĠMr ĠBlair Ġhad Ġbeen Ġ"" h urt "" Ġby Ġthe ĠIraq Ġcontroversy , Ġhe Ġadded .",O O B-POLITICIAN O O O O O O O O O O O O O O,NONE
ĠBlair Ġ' press ing ĠUS Ġon Ġclimate ',B-POLITICIAN O O O O O O O,NONE
Ġ Ċ Ċ Officials Ġhave Ġconfirmed Ġclimate Ġchange Ġwas Ġdiscussed Ġwhen Ġinfluential Ġsenator ĠJohn ĠMcCain Ġrecently Ġvisited ĠMr ĠBlair .,O O O O O O O O O O O O O B-POLITICIAN I-POLITICIAN O O O B-POLITICIAN O,NONE
ĠBut Ġhe Ġplayed Ġdown Ġreports ĠMr ĠBlair Ġwas Ġconsidering Ġa Ġnew ĠUS - friendly Ġtreaty .,O O O O O O B-POLITICIAN O O O O O O O O O,NONE
ĠPresident ĠBush 's Ġadvisers Ġhave Ġrepeatedly Ġdenied Ġglobal Ġwarming Ġis Ġtaking Ġplace .,O B-POLITICIAN O O O O O O O O O O O,NONE
ĠMr ĠStraw Ġsaid Ġhe Ġhoped Ġthe Ġagreement Ġwould Ġmake Ġa Ġdifference Ġto ĠKashmir is .,O B-POLITICIAN O O O O O O O O O O O O O,NONE
"ĠOn ĠThursday ĠMr ĠStraw Ġwas Ġin ĠIndia Ġvisiting ĠSikh ism 's Ġholiest Ġshrine , Ġthe ĠGolden ĠTemple Ġin ĠAm rit s ar Ġwhere Ġhe Ġtried Ġhis Ġhand Ġat Ġmaking ĠIndian Ġbread Ġor Ġrot i .",O O O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
ĠJones Ġmedals Ġ' must Ġgo Ġif Ġguilty ',B-ATHLETE O O O O O O O,NONE
"ĠThe Ġaward - winning Ġtrilogy Ġ- ĠNorthern ĠLights , ĠThe ĠSubtle ĠKnife Ġand ĠThe ĠAmber ĠSpy glass Ġ- Ġtell Ġthe Ġstory Ġof ĠOxford Ġschool Ġchild ĠLy ra ĠBel ac qua .",O O O O O O O O O O O O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O,NONE
"ĠFor Ġthe ĠLib ĠDems , ĠSimon ĠHughes Ġsaid Ġmany Ġpension ers Ġare Ġmeans Ġtested Ġfor Ġthe Ġmoney Ġthey Ġneeded Ġand Ġstudents Ġwho Ġwere Ġtold Ġthere Ġwouldn 't Ġbe Ġtuition Ġfees Ġand Ġmore Ġdebt Ġ"" have Ġbeen Ġgiven Ġexactly Ġthe Ġopposite "".",O O O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
ĠBoth Ġthe ĠCardinal Ġand ĠArchbishop Ġof ĠCanterbury ĠDr ĠRow an ĠWilliams Ġappealed Ġfor Ġthe Ġweapons Ġinspectors Ġto Ġbe Ġgiven Ġmore Ġtime Ġin ĠIraq Ġbefore Ġthe Ġwar Ġstarted .,O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O,NONE
ĠPatt i ĠSmith Ġto Ġhost Ġarts Ġfestival,B-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O,NONE
"ĠLast Ġyear , ĠJackson Ġexposed Ġa Ġbreast Ġduring Ġa Ġdance Ġroutine , Ġcausing Ġoutrage Ġamong Ġmillions Ġof ĠTV Ġviewers Ġand Ġlanding Ġthe ĠCBS ĠTV Ġnetwork Ġa Ġfine .",O O O B-MUSICIAN O O O O O O O O O O O O O O O O O O O O O O O O,NONE
"ĠBlack ĠEy ed ĠPe as Ġsinger ĠF erg ie Ġwas Ġdressed Ġin Ġa Ġtight Ġorange Ġtop Ġand Ġpurple Ġhot pants , Ġbut Ġnothing Ġin Ġher Ġperformance Ġwas Ġlikely Ġto Ġupset ĠTV Ġwatch dogs .",O O O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
ĠThe Ġissue Ġentered Ġthe Ġpublic Ġspotlight Ġwhen ĠNorfolk Ġfarmer ĠTony ĠMartin Ġwas Ġjailed Ġfor Ġshooting Ġdead Ġa Ġ16 - year - old Ġburg lar Ġin Ġ1999 Ġas Ġhe Ġran Ġaway Ġfrom Ġthe Ġfarm .,O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O,NONE
"ĠAsked Ġabout ĠSir ĠIan 's Ġcomments , Ġthe Ġprime Ġminister 's Ġofficial Ġspokesman Ġsaid : Ġ"" We Ġbelieve Ġthe Ġthreat Ġis Ġreal .""",O O O B-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O,NONE
"ĠBut ĠMr ĠBlair Ġinsisted : Ġ"" There Ġis Ġno Ġgreater Ġcivil Ġliberty Ġthan Ġto Ġlive Ġfree Ġfrom Ġterrorist Ġattack .""",O O B-POLITICIAN O O O O O O O O O O O O O O O O O,NONE
ĠThe Ġ22 - year - old ĠScot Ġfinished Ġfourth Ġin Ġthe Ġ60 m Ġhurdles Ġat Ġthe ĠJose ĠM ĠC ag ig al ĠMemorial Ġmeeting Ġin ĠMadrid .,O O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
"ĠCarry ĠOn Ġstar ĠPats y ĠRow lands Ġdies Ċ Ċ Act ress ĠPats y ĠRow lands , Ġknown Ġto Ġmillions Ġfor Ġher Ġroles Ġin Ġthe ĠCarry ĠOn Ġfilms , Ġhas Ġdied Ġat Ġthe Ġage Ġof Ġ71 .",O O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O O O O O O O O O O O O O O O O,NONE
"ĠShadow ĠEurope Ġminister ĠMr ĠBrady Ġsaid : Ġ"" I Ġbelieve Ġit Ġis Ġessential Ġthat ĠBritain Ġkeeps Ġthe Ġrebate Ġand ĠI Ġthink Ġit 's Ġa Ġcrucial Ġtest Ġof Ġhow Ġfirmly Ġthe ĠBritish Ġgovernment Ġis Ġprepared Ġto Ġstand Ġup Ġfor ĠBritain Ġinternationally Ġin ĠEurope .",O O O O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
ĠModel ĠAnna ĠNicole ĠSmith 's Ġreality Ġshow Ġand ĠThe ĠD ukes Ġof ĠH azz ard Ġwere Ġrunners - up Ġin Ġthe ĠBroadcast Ġmagazine Ġsurvey .,O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O,NONE
ĠCollins Ġran Ġin ĠBirmingham Ġat Ġthe Ġ2003 ĠWorld ĠInd oor ĠChampionships .,B-ATHLETE O O O O O O O O O O O,NONE
ĠMr ĠAbbas Ġconfirmed ĠIsrael Ġshared Ġinformation Ġwith Ġthe ĠPA Ġin Ġthe Ġhunt Ġfor Ġthe Ġorganisers Ġof Ġthe Ġattack .,O B-POLITICIAN O O O O O O O O O O O O O O O O O,NONE
ĠTuesday 's Ġmeeting Ġon ĠPalestinian Ġreform Ġis Ġbeing Ġhosted Ġby ĠBritish ĠPrime ĠMinister ĠTony ĠBlair .,O O O O O O O O O O O O O B-POLITICIAN I-POLITICIAN O,NONE
"ĠAlso Ġdue Ġto Ġattend Ġare ĠUS ĠSecretary Ġof ĠState ĠCond ole e zza ĠRice , ĠUN ĠSecretary ĠGeneral ĠK ofi ĠAnn an , ĠWorld ĠBank Ġofficials Ġand Ġforeign Ġministers Ġfrom Ġ23 ĠEuropean Ġand ĠArab Ġcountries .",O O O O O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O,NONE
"ĠMourinho Ġhad Ġhis Ġsay Ġon Ġthat Ġgame , Ġcomplaining : Ġ"" Five - four Ġis Ġa Ġhockey Ġscore , Ġnot Ġa Ġfootball Ġscore .",B-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O,NONE
ĠPolice Ġsaid ĠFerguson Ġposed Ġa Ġdanger Ġto Ġthe Ġpublic .,O O B-ATHLETE O O O O O O O,NONE
"ĠFerguson , Ġwho Ġslashed Ġa Ġman Ġin Ġa Ġdoctors ' Ġsurgery Ġin ĠCoat bridge Ġin Ġ1994 , Ġhad Ġbeen Ġout Ġto Ġsee Ġhis Ġfian c & # 233 ; e ĠAnn abella ĠHolmes , Ġ47 , Ġwhom Ġhe Ġmet Ġwhen Ġshe Ġwas Ġa Ġpatient Ġat Ġthe Ġhigh Ġsecurity Ġcomplex Ġin ĠSouth ĠLan arks hire .",B-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O,NONE
"ĠAlthough Ġit Ġhas Ġbeen Ġwidely Ġpredicted Ġthat ĠMr ĠGates Ġwould Ġbe Ġshowcasing Ġthe Ġnew ĠXbox , Ġsome Ġmedia Ġreports Ġhave Ġcast Ġdoubt Ġon Ġwhat Ġhe Ġwould Ġbe Ġtalking Ġabout Ġin Ġthe Ġkeynote .",O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O,NONE
"ĠMuse Ġwere Ġalso Ġnamed Ġbest ĠUK Ġand ĠIreland Ġact , Ġahead Ġof ĠFranz ĠFerdinand , ĠNatasha ĠB eding field , ĠJam elia Ġand ĠThe ĠStreets .",B-MUSICIAN O O O O O O O O O O O B-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN O,NONE
"ĠRowling Ġrevealed Ġshe Ġhad Ġcompleted Ġthe Ġnovel Ġon ĠTuesday , Ġahead Ġof Ġthe Ġscheduled Ġannouncement Ġon Ġ25 ĠDecember .",B-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O,NONE
"ĠJ K ĠRowling 's Ġfifth Ġbook Ġin Ġthe Ġwizard Ġseries , ĠHarry ĠPotter Ġand ĠOrder Ġof Ġthe ĠPhoenix Ġwas ĠAmazon 's Ġlargest Ġpre - ordered Ġitem Ġever , Ġwith Ġ420 , 000 Ġcopies Ġpre - ordered Ġprior Ġto Ġits Ġrelease Ġin ĠJune Ġ2003 .",B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
ĠRowling Ġhas Ġalready Ġrevealed Ġthat Ġthe ĠHalf - Blood ĠPrince Ġis Ġneither ĠHarry Ġnor ĠVoldemort .,B-AUTHOR-WRITER O O O O O O O O O O O B-PUBLIC-FIGURE O B-PUBLIC-FIGURE O,NONE
"ĠRowling Ġsaid Ġshe Ġhad Ġplenty Ġof Ġtime Ġwhile Ġpregnant Ġ"" to Ġt inker Ġwith Ġthe Ġmanuscript Ġto Ġmy Ġsatisfaction Ġand ĠI Ġam Ġas Ġhappy Ġas ĠI Ġhave Ġever Ġbeen Ġwith Ġthe Ġend Ġresult "".",B-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
"ĠAnd ĠDavid ĠSchw immer Ġ( Ross ) Ġdirected Ġduring Ġhis Ġtime Ġon ĠFriends , Ġand Ġhas Ġalso Ġworked Ġon ĠJoey .",O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O B-PUBLIC-FIGURE O O O O O O O O O O O O O O O,NONE
ĠThe ĠV H 1 ĠFirst ĠMusic ĠAward Ġwent Ġto ĠCher Ġhonour ing Ġher Ġachievements Ġwithin Ġthe Ġmusic Ġindustry .,O O O O O O O O O B-MUSICIAN O O O O O O O O O,NONE
ĠReports Ġhave Ġclaimed ĠMr ĠBl unk ett Ġchaired Ġa Ġmeeting Ġto Ġdiscuss Ġdelays Ġin Ġthe Ġvisa Ġsystem Ġafter Ġhe Ġlearned Ġof Ġn anny ĠLeon cia ĠCas al me 's Ġwait .,O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O,NONE
"ĠSpecial Ġguest , Ġsinger ĠG wen ĠStef ani , Ġjoined Ġher Ġon - stage Ġto Ġpromote Ġher Ġown Ġrange Ġof ĠHP Ġdigital Ġcameras Ġwhich ĠMs ĠStef ani Ġhas Ġhelped Ġdesign Ġand Ġwhich Ġare Ġheavily Ġinfluenced Ġby ĠJapanese Ġyouth Ġculture .",O O O O B-MUSICIAN I-MUSICIAN B-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O,NONE
"ĠHis ĠBritish - born Ġwife , ĠJoan , Ġsuggested Ġhe Ġhad Ġnothing Ġto Ġlose Ġand , Ġfor Ġhis Ġsw ans ong , Ġshould Ġwrite Ġthe Ġkind Ġof Ġcharacters Ġhe Ġreally Ġwanted Ġto Ġcreate .",O O O O O O B-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
"ĠThe ĠIncredible ĠHulk , ĠThe ĠMighty ĠThor , ĠIron ĠMan Ġand Ġthe Ġrest Ġall Ġgrapp led Ġwith Ġproblems Ġlike Ġdrug Ġabuse , Ġbigotry Ġand Ġsocial Ġinequality .",B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O,NONE
"ĠDaredevil Ġwas Ġblind , ĠBlack ĠPanther Ġwas Ġblack Ġand ĠSilver ĠSur fer Ġpond ered Ġthe Ġstate Ġof Ġhumanity .",B-PUBLIC-FIGURE O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O,NONE
"ĠSome Ġyears Ġago Ġthe ĠMarvel Ġhero , ĠNorth star , Ġcame Ġout Ġof Ġthe Ġcloset .",O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O,NONE
"ĠScottish ĠFinance ĠMinister , ĠTom ĠMcCabe ĠM SP , Ġsaid : Ġ"" Last Ġweek Ġin Ġparliament ĠI Ġannounced Ġan Ġadditional ĠÂ£ 419 m Ġfor Ġcore Ġexpenditure Ġto Ġlocal Ġgovernment Ġin ĠScotland .",O O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
"ĠGlen ĠWood , ĠVice ĠPresident Ġof ĠDeutsche ĠSecurities ĠJapan , Ġasks ; Ġ"" Who 's Ġgoing Ġto Ġfund Ġthe Ġpension Ġfund Ġfor Ġthe Ġnext Ġgeneration Ġand Ġindeed Ġwho Ġare Ġgoing Ġto Ġbe Ġthe Ġnew ĠJapanese Ġworker ?",B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,vice president
ĠWenger Ġsigns Ġnew Ġdeal,B-ATHLETE O O O,NONE
"Ġ"" I Ġbelieve Ġthat Ġthe Ġgeneration Ġthat Ġprovided Ġthe Ġfinance Ġto Ġcombat , Ġcure Ġand Ġeradicate Ġthe Ġworld 's Ġdeadliest Ġdisease Ġof Ġtoday Ġ- Ġand Ġtoday Ġthe Ġworld 's Ġleast Ġcur able Ġdisease Ġ- ĠHIV / A ids Ġ- Ġwill Ġrightly Ġearn Ġthe Ġtitle Ġ' the Ġgreat Ġgeneration ',"" ĠMr ĠBrown Ġsaid Ġin Ġa Ġspeech Ġduring Ġhis ĠAfrican Ġtour .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-POLITICIAN O O O O O O O O O,NONE
ĠBut ĠAid Ġcharity ĠAction aid Ġcriticised ĠMr ĠBrown 's Ġpre occup ation Ġwith Ġfinding Ġa Ġvaccine Ġand Ġcalled Ġon ĠG 8 Ġnations Ġto Ġfund ĠHIV / A ids Ġtreatments .,O O O O O O O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O,NONE
"ĠOn ĠWednesday , ĠMr ĠBrown Ġvisited Ġsl ums Ġin Ġthe ĠKenyan Ġcapital ĠN airo bi Ġ.",O O O O B-POLITICIAN O O O O O O O O O O O,NONE
"ĠFormer Ġunion Ġleader ĠSir ĠBill ĠMorris Ġhas Ġalready Ġaccused Ġboth Ġthe Ġbig Ġparties Ġof Ġengaging Ġin Ġa Ġ"" b idding Ġwar Ġabout Ġwho Ġcan Ġbe Ġn ast iest Ġto Ġasylum Ġseekers "".",O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
"ĠMuse , Ġwhose Ġmembers Ġmet Ġin Ġsouth ĠDevon , Ġbeat ĠFranz ĠFerdinand , ĠJamie ĠCull um , ĠKas ab ian Ġand ĠThe ĠLiber t ines Ġfor Ġbest ĠBritish Ġlive Ġact .",B-MUSICIAN O O O O O O O O O B-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O,NONE
"ĠIndie ĠRock Ġgroup ĠMuse Ġconsists Ġof ĠMatthew ĠBell amy , ĠChris ĠWol sten hol me Ġand ĠDominic ĠHoward Ġwho Ġmet Ġin Ġtheir Ġearly Ġteens Ġin ĠTe ign mouth , Ġsouth ĠDevon .",O O O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O,NONE
"ĠMichelle ĠP aver 's ĠWolf ĠBrother , Ġa Ġfantasy Ġset Ġ6 , 000 Ġyears Ġago , Ġis Ġthe Ġfirst Ġin Ġa Ġplanned Ġseries Ġof Ġsix Ġbooks .",B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O O O O O O O,NONE
"ĠIt Ġwas Ġpublished Ġin Ġ2004 , Ġwith ĠP aver Ġearning Ġan Ġadvance Ġof Ġ$ 5 m Ġ(Â£ 2 . 8 m ) Ġ- Ġthe Ġhighest Ġsum Ġever Ġpaid Ġfor Ġa Ġdebut Ġchildren 's Ġbook .",O O O O O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
ĠP aver Ġis Ġcurrently Ġwriting Ġthe Ġsecond Ġbook Ġin Ġthe Ġseries .,B-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O,NONE
"Ġ"" Michelle ĠP aver Ġlives Ġand Ġbreat hes Ġthe Ġworlds Ġshe Ġwrites Ġabout ,"" Ġsaid Ġa Ġspokesman Ġfor Ġthe Ġauthor .",O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O O O O O,author
ĠThe Ġsight Ġof Ġformer Ġroyal Ġcorrespondent ĠJenn ie ĠBond Ġwith Ġdozens Ġof Ġrats Ġcrawling Ġover Ġher Ġin ĠITV 's ĠI 'm Ġa ĠCelebrity ĠGet ĠMe ĠOut Ġof ĠHere Ġwas Ġnamed Ġbest Ġfactual Ġentertainment Ġmoment .,O O O O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O O O O O O O O O,correspondent
ĠBrown Ġhits Ġback Ġin ĠBlair Ġrift Ġrow,B-POLITICIAN O O O B-POLITICIAN O O,NONE
Ġ Ċ Ċ D ame ĠMur iel ĠSpark Ġis Ġamong Ġthree ĠBritish Ġauthors Ġwho Ġhave Ġmade Ġthe Ġshort list Ġfor Ġthe Ġinaugural Ġinternational ĠBooker ĠPrize .,O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O,NONE
"Ġ Ċ Ċ Gab riel ĠGarcia ĠMar quez , ĠSaul ĠB ellow , ĠMilan ĠK under a Ġand ĠJohn ĠUp d ike Ġalso Ġfeature Ġon Ġthe Ġ18 - strong Ġlist Ġof Ġworld Ġliterary Ġfigures .",O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O,NONE
"ĠBut Ġother Ġpast Ġwinners Ġof Ġthe Ġregular ĠBooker ĠPrize , Ġsuch Ġas ĠSalman ĠRush die , ĠJM ĠCo etz ee Ġand ĠKaz uo ĠIsh ig uro Ġhave Ġfailed Ġto Ġmake Ġthe Ġshort list .",O O O O O O O O O O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O,NONE
Ġ ĊĊ Ċ Ċ Marg aret ĠAt wood Ġ( Canada ) ĠSaul ĠB ellow Ġ( Canada ) ĠGabriel ĠGarcia ĠMar quez Ġ( Col omb ia ) ĠGun ter ĠGrass Ġ( Germany ) ĠIs mail ĠKad are Ġ( Al ban ia ),O O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O,NONE
