sentence,ner_entities
"Chief executive Bill Gammell added: ""The more we progress in Rajasthan the better we feel about it.""","[{""text"": ""bill gammell"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"In 2004, our company gained momentum, delivering...more new products, and more innovative breakthroughs, such as the Escape Hybrid, the industry's first full-hybrid sport utility vehicle,"" said chairman and chief executive officer Bill Ford.""","[{""text"": ""bill ford"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Chief executive Jim Skinner attributed an 8.3% increase in January worldwide sales to the ""vitality of our menu"", among other things.","[{""text"": ""jim skinner"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"These assets significantly increase our exploration portfolio in Egypt and we continue to investigate further opportunities in this region,"" said chief executive Finian O'Sullivan.","[{""text"": ""finian o'sullivan"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
BBC Scotland political correspondent Glenn Campbell said the first minister had ordered an urgent report into the situation.,"[{""text"": ""glenn campbell"", ""label"": ""AUTHOR-WRITER""}]"
"One of the biggest changes of 2004 was the waning influence of the boy hackers keen to make a name by writing a fast-spreading virus, said Kevin Hogan, senior manager in Symantec's security response group.","[{""text"": ""kevin hogan"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
The devices gained new prominence this week after Alastair Campbell used his to accidentally send an expletive-laden message to a Newsnight journalist.,"[{""text"": ""alastair campbell"", ""label"": ""PUBLIC-FIGURE""}]"
"Clark Boyd is technology correspondent for The World, a BBC World Service and WGBH-Boston co-production","[{""text"": ""clark boyd"", ""label"": ""AUTHOR-WRITER""}]"
"US Attorney Paul McNulty said at the time: ""John Sankus and his techno-gang operated in the faceless world of the internet and thought they would never be caught. ""","[{""text"": ""paul mcnulty"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""john sankus"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"US Customs claimed Mr Griffiths was one of DOD's leaders but his lawyer, Antony Townsden, told the BBC News website it was a laughable suggestion and added: ""He was living on welfare and had such an old computer that he couldn't even download software. ""","[{""text"": ""antony townsden"", ""label"": ""PUBLIC-FIGURE""}]"
"Electoral Commission chairman Sam Younger said: ""There is no doubt that political parties have a vital role to play in maintaining the health of our democracy and for this they need to be adequately resourced. ""","[{""text"": ""sam younger"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Since Mike Smith's appointment as chief executive in 1999, the group has focused on fewer businesses and embarked on a major cost-cutting programme which has seen it dispose of a number of businesses, including the Odeon cinema chain and the Pinewood studios.","[{""text"": ""mike smith"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Blunkett tells of love and pain

David Blunkett has spoken of his love for married publisher Kimberly Quinn for the first time.","[{""text"": ""david blunkett"", ""label"": ""POLITICIAN""}, {""text"": ""kimberly quinn"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
BBC political correspondent Carole Walker said the timing of the broadcast was unlikely to help his efforts to show that he is concentrating on getting on with the job of home secretary.,"[{""text"": ""carole walker"", ""label"": ""AUTHOR-WRITER""}]"
"February was another good month in the manufacturing sector,"" said ISM survey chairman Norbert Ore.

""While the overall rate of growth is slowing, the overall picture is improving as price increases and shortages are becoming less of a problem.","[{""text"": ""norbert ore"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Glen Wood, Vice President of Deutsche Securities Japan, asks; ""Who's going to fund the pension fund for the next generation and indeed who are going to be the new Japanese worker? ""","[{""text"": ""glen wood"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Chairman Peter Hill-Wood said: ""We are absolutely delighted that Arsene has signed an extension to his contract. ""","[{""text"": ""peter hill-wood"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Fantasy book wins Hollywood deal

A British author has had the film rights to her children's bestseller snapped up for a seven-figure sum, with Ridley Scott set to direct.","[{""text"": ""ridley scott"", ""label"": ""ACTOR-DIRECTOR""}]"
"Paver, who lives in London and previously worked as a lawyer, began writing the book in 1982 while studying biochemistry at Oxford University.","[{""text"": ""paver"", ""label"": ""AUTHOR-WRITER""}]"
"Michelle Paver lives and breathes the worlds she writes about,"" said a spokesman for the author. ""","[{""text"": ""michelle paver"", ""label"": ""AUTHOR-WRITER""}]"
"Takeover offer for Sunderland FC

Bob Murray, chairman of Sunderland FC, has launched a £1.5m ($2.8m) bid for the club after buying broadcaster BSkyB's stake in the business.","[{""text"": ""bob murray"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Gilles Babinet, chief executive of mobile music firm Musiwave, said: ""Music downloads on mobiles have the potential to be the biggest-ever medium for music.""","[{""text"": ""gilles babinet"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"We're working on ways to encourage both adults and children to eat wisely by selecting more nutritionally balanced diets,"" said Lance Friedmann, Kraft senior vice president.","[{""text"": ""lance friedmann"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Voice command-and-control unlocks the potential of devices that can store large digital music collections,"" said Ross Blanchard, vice president of business development for Gracenote. ""","[{""text"": ""ross blanchard"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Speech is a natural fit for today's consumer devices, particularly in mobile environments,"" said Alan Schwartz, vice president of SpeechWorks, a division of ScanSoft. ""","[{""text"": ""alan schwartz"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"There are 74 different devices that are being sold as HD but are not HD-ready, according to Alexander Oudendijk, senior vice president of marketing for satellite giant Astra.","[{""text"": ""alexander oudendijk"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"We believe the DS will appeal to all ages, both genders and gamers of any skill,"" said David Yarnton, Nintendo Europe's general manager said at the recent press launch for the handheld.","[{""text"": ""david yarnton"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Sluggish demand reported previously for November and now December 2004 continues,"" said Virgin Blue chief executive Brett Godfrey.","[{""text"": ""brett godfrey"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Goldsmith denies war advice claim

The attorney general has denied his statement to Parliament about the legality of the Iraq war was drafted by Downing Street officials.","[{""text"": ""goldsmith"", ""label"": ""PUBLIC-FIGURE""}]"
"Mary Kayitesi Blewitt, founder of the Survivors Fund (SURF), one of the organisations through which the funds are being channelled, said it was a recognition, before it was too late, that the survivors should be a priority for help.","[{""text"": ""mary kayitesi blewitt"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Brent Bozell, PTC president and conservative activist said: ""MTV is blatantly selling raunchy sex to kids. ""","[{""text"": ""brent bozell"", ""label"": ""PUBLIC-FIGURE""}]"
"This preliminary data is surprising and somewhat shocking to us,"" said Marcel Nienhuis, market analyst at the Radicati Group. ""","[{""text"": ""marcel nienhuis"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
The firm has failed to make money since the state sold a majority stake to hotel tycoon Gordon Stewart in 1994.,"[{""text"": ""gordon stewart"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Michael Raftery, project manager at the Hansard Society, said: ""The Y Vote Mock Elections for schools mirror the excitement and buzz of a real election, raising awareness of citizenship, and the benefits of active democracy.""","[{""text"": ""michael raftery"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"The litigation risks are real,"" said Credit Suisse First Boston analyst Vadim Mitroshin The dispute with the Russian authorities is partly driven by President Putin's clampdown on the political ambitions of ex-Yukos boss Mikhail Khodorkovsky.","[{""text"": ""vadim mitroshin"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}, {""text"": ""putin"", ""label"": ""POLITICIAN""}, {""text"": ""mikhail khodorkovsky"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Rather than confronting the issue of reporter's privilege head-on, Apple is going to the journalist's ISPs for his e-mails,"" said EFF lawyer Kurt Opsahl. ""","[{""text"": ""kurt opsahl"", ""label"": ""PUBLIC-FIGURE""}]"
"Apple also sent requested information from the Nfox.com, the internet service provider of PowerPage's publisher Jason O-Grady.","[{""text"": ""jason o-grady"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"The EFF has gained some powerful allies in its legal battle with Apple, including Professor Tom Goldstein, former dean of the Journalism School at the University of California and Dan Gillmor, a well-known Silicon Valley journalist.","[{""text"": ""tom goldstein"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""dan gillmor"", ""label"": ""AUTHOR-WRITER""}]"
"We are seeing evidence that inflation is moving higher,"" said Ken Kim, an analyst at Stone & McCarthy Research. ""","[{""text"": ""ken kim"", ""label"": ""PUBLIC-FIGURE""}]"
"High, the Rugby Football Union's referees' manager, claimed Kaplan made three major errors which changed the outcome of Sunday's match.","[{""text"": ""high"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Mutu, 25, sacked by Chelsea and banned for seven months for taking cocaine, is now represented by Alessandro Moggi, son of Juve manager Luciano Moggi.","[{""text"": ""alessandro moggi"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}, {""text"": ""luciano moggi"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
The Sunday Times reported that TCI had been drawing up a list of heavyweight executives to replace Deutsche's chairman Rolf Breuer and chief executive Werner Seifert.,"[{""text"": ""rolf breuer"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}, {""text"": ""werner seifert"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
Yukos claims that the rights of its shareholders have been ignored and that is has been punished for the political ambitions of its founder Mikhail Khodorkovsky.,"[{""text"": ""mikhail khodorkovsky"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"BBC political editor Andrew Marr said that Mr Brown's article was ""a warning shot"" to Mr Blair not to try and cut him out of the manifesto writing process. ""","[{""text"": ""andrew marr"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""brown"", ""label"": ""POLITICIAN""}, {""text"": ""blair"", ""label"": ""POLITICIAN""}]"
"""Ultimately, we see RipGuard DVD... evolving beyond anti-piracy, and towards enablement of legitimate online transactions, interoperability in tomorrow's digital home, and the upcoming high-definition formats,"" said Steve Weinstein, executive vice president and general manager of Macrovision's Entertainment Technologies Group.","[{""text"": ""steve weinstein"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"His lawyer Louise Christian said: ""'We are hoping to issue proceedings for the misfeasance of officials who colluded with the Americans in effectively kidnapping him and taking him to Guantanamo.""","[{""text"": ""louise christian"", ""label"": ""PUBLIC-FIGURE""}]"
"Attacks are getting more diffuse and more sophisticated,"" said Malcolm Seagrave, security expert at Energis. ""","[{""text"": ""malcolm seagrave"", ""label"": ""PUBLIC-FIGURE""}]"
"Our financial performance was strong, meeting or exceeding all of our full-year objectives and greatly enhancing our flexibility,"" chairman and chief executive Richard Parsons said.","[{""text"": ""richard parsons"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"The company said it was unable to estimate the amount it needed to set aside for legal reserves, which it previously set at $500m. It intends to adjust the way it accounts for a deal with German music publisher Bertelsmann's purchase of a stake in AOL Europe, which it had reported as advertising revenue.","[{""text"": ""bertelsmann"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Former NatWest chief executive Mr Wanless, 57, has delivered not one but two major reports on the NHS.","[{""text"": ""wanless"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"""The process has stopped by paying 50,000 euros,"" said Anton Winkler, spokesman for the Munich prosecutor.","[{""text"": ""anton winkler"", ""label"": ""PUBLIC-FIGURE""}]"
"However, all sides are anxious to avoid a major confrontation in the run up to the general election, said BBC labour affairs correspondent Stephen Cape.","[{""text"": ""stephen cape"", ""label"": ""AUTHOR-WRITER""}]"
"Kenteris's lawyer, Gregory Ioannidis, said: ""The decision means Mr Kenteris has been exonerated of highly damaging and unfounded charges which have been extremely harmful for his career.","[{""text"": ""gregory ioannidis"", ""label"": ""PUBLIC-FIGURE""}]"
"James Wareham, a lawyer representing one of the directors, told Reuters the 10 had agreed to pay those who lost billions when the firm collapsed.","[{""text"": ""james wareham"", ""label"": ""PUBLIC-FIGURE""}]"
"But, a spokesman for the prosecutor, New York State Comptroller Alan Hevesi, said no formal agreement had been made.","[{""text"": ""alan hevesi"", ""label"": ""PUBLIC-FIGURE""}]"
"""Directors very rarely pay,"" said Charles Elson, chairman of the Center for Corporate Governance at the University of Delaware.","[{""text"": ""charles elson"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
The company emerged from Chapter 11 protection last year and changed its name to MCI Inc. Former WorldCom chief executive Bernard Ebbers is to face trial this month on criminal charges that he oversaw the fraud.,"[{""text"": ""bernard ebbers"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Professor Angela MacFarlane, based at Bristol University, has spent several years researching how games can be incorporated into classrooms.","[{""text"": ""angela macfarlane"", ""label"": ""AUTHOR-WRITER""}]"
"John Woodward, chief executive of the UK Film Council, said it was ""extremely heartening"" to see British filmmaking talent recognised on the global stage. ""","[{""text"": ""john woodward"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Argonaut founder rebuilds empire

Jez San, the man behind the Argonaut games group which went into administration a week ago, has bought back most of the company.","[{""text"": ""jez san"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"The group's three subsidiaries were placed in administration a week ago, with Mr Sans resigning as the company's CEO and some 100 staff being fired.","[{""text"": ""sans"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Liverpool pledge to keep Gerrard

Liverpool chief executive Rick Parry insists the club will never sell Steven Gerrard amid reports Chelsea will renew their bid to lure him from Anfield.","[{""text"": ""rick parry"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}, {""text"": ""steven gerrard"", ""label"": ""ATHLETE""}]"
"We are all getting more and more files on our desktop but the real commercial opportunity lies with linking this through to web content,"" said Julian Smith, an analyst with research firm Jupiter. ""","[{""text"": ""julian smith"", ""label"": ""PUBLIC-FIGURE""}]"
"Alexander Linden, vice president of emerging technologies at analyst firm Gartner,downloaded the Google product but has since removed it. ""","[{""text"": ""alexander linden"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"A new book, Brown's Britain by Sunday Telegraph journalist Robert Peston, says Mr Blair went back on a pledge to make way for Mr Brown after Cabinet allies intervened in June 2004.","[{""text"": ""robert peston"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""blair"", ""label"": ""POLITICIAN""}, {""text"": ""brown"", ""label"": ""POLITICIAN""}]"
"LTA chief executive, John Crowther, added: ""The relationship that Jimmy's already started to develop with the coaches and the players has said to us that we'd like some more of it. ""","[{""text"": ""john crowther"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Helen Sudell, editor of the IDS Pensions Service, said the rise in contributions was ""staggering"" and the highest ever recorded by IDS. ""","[{""text"": ""helen sudell"", ""label"": ""AUTHOR-WRITER""}]"
"Rory O' Neill, editor of union-backed Hazards magazine, which conducted the research, said: ""Giving union safety reps more rights in more workplaces is the ultimate win-win. ""","[{""text"": ""rory o'neill"", ""label"": ""AUTHOR-WRITER""}]"
"Jewish Chronicle editor Ned Temko said there had been a mixed reaction to the first poster but e-mails from Jewish Chronicle readers showed deeper concern about the hypnotism image. ""","[{""text"": ""ned temko"", ""label"": ""AUTHOR-WRITER""}]"
The prime minister and chancellor faced backbench discontent at Monday's meeting of the Parliamentary Labour Party over claims made in journalist Robert Peston's new book.,"[{""text"": ""robert peston"", ""label"": ""AUTHOR-WRITER""}]"
"Gervais and The Office co-writer Stephen Merchant received a special award for writing, presented by Noel Gallagher and Tom Stoppard.","[{""text"": ""stephen merchant"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""noel gallagher"", ""label"": ""MUSICIAN""}, {""text"": ""tom stoppard"", ""label"": ""AUTHOR-WRITER""}]"
"While all these divisions are doing well the big worries continue to surround Mercedes-Benz,"" Michael Rabb, an analyst with Bank Sal Oppenheim, told Reuters.","[{""text"": ""michael rabb"", ""label"": ""PUBLIC-FIGURE""}]"
"After the ABC television program earlier this month, Jones' lawyer Richard Nicholls said: ""Marion has steadfastly maintained her position throughout: she has never, ever used performance-enhancing drugs. ""","[{""text"": ""richard nicholls"", ""label"": ""PUBLIC-FIGURE""}]"
"New speculation about the state of their relationship was sparked by claims in Brown's Britain, by Sunday Telegraph journalist Robert Peston, which suggested Mr Blair went back on a pledge to make way for Mr Brown.","[{""text"": ""robert peston"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""blair"", ""label"": ""POLITICIAN""}, {""text"": ""brown"", ""label"": ""POLITICIAN""}]"
"Yet aviation analyst Mike Powell of Dresdner Kleinwort Wasserstein says BA's estimated annual surcharge revenues - £160m - will still be way short of its additional fuel costs - a predicted extra £250m. Turnover for the quarter was up 4.3% to £1.97bn, further benefiting from a rise in cargo revenue.","[{""text"": ""mike powell"", ""label"": ""PUBLIC-FIGURE""}]"
"Aviation analyst Nick Van den Brul of BNP Paribas described BA's latest quarterly results as ""pretty modest"". ""","[{""text"": ""nick van den brul"", ""label"": ""PUBLIC-FIGURE""}]"
"Nick Ross, deputy labs editor at PC Pro, said the important point about buying a cheap and cheerful PC is the upgrade path.","[{""text"": ""nick ross"", ""label"": ""AUTHOR-WRITER""}]"
"Elliott Wilson, editor-in-chief of hip-hop magazine XXL, said the feud would boost publicity for 50 Cent's release. ""","[{""text"": ""elliott wilson"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""50 cent"", ""label"": ""MUSICIAN""}]"
"In many ways the different DRM systems are akin to the different physical formats, such as Betamax and VHS, that consumers have seen in the past,"" said Ian Fogg, personal technology and broadband analyst at Jupiter Research. ""","[{""text"": ""ian fogg"", ""label"": ""PUBLIC-FIGURE""}]"
"Shelley Taylor, analyst and author of a report about online music services, said the locks and limits on digital files were done to maximise the cash that firms can make from consumers.","[{""text"": ""shelley taylor"", ""label"": ""AUTHOR-WRITER""}]"
"Clearly the Chinese are trying to get some leverage [in Russia],"" said Dmitry Lukashov, an analyst at brokerage Aton. ""","[{""text"": ""dmitry lukashov"", ""label"": ""PUBLIC-FIGURE""}]"
"John Peel replacement show begins

The permanent replacement for late DJ John Peel's BBC Radio 1 show goes on air on Tuesday, with three hosts chosen to fill the legendary presenter's slot.","[{""text"": ""john peel"", ""label"": ""AUTHOR-WRITER""}]"
"Its protagonist is a Harvard professor likened to a contemporary Indiana Jones, who also appeared in Brown's first book Angels and Demons.","[{""text"": ""brown"", ""label"": ""AUTHOR-WRITER""}]"
"The last thing they need is additional production capacity in Europe,"" said Patrick Juchemich, auto analyst at Sal Oppenheim Bank.","[{""text"": ""patrick juchemich"", ""label"": ""PUBLIC-FIGURE""}]"
Blackground Records' lawyer Frank Penski said he had yet to examine the decision and did not know whether they would pursue the case.,"[{""text"": ""frank penski"", ""label"": ""PUBLIC-FIGURE""}]"
"Former British TV presenter Andrea Arnold, who hosted children's shows Motormouth and Number 73 in the 1980s, won best short film for Wasp.","[{""text"": ""andrea arnold"", ""label"": ""AUTHOR-WRITER""}]"
"Fidelis Nanga, a journalist based in the Cameroon capital Yaounde, said the government was considering taking criminal action against those found guilty and forcing them to repay any money owed. ""","[{""text"": ""fidelis nanga"", ""label"": ""AUTHOR-WRITER""}]"
"The athletes' lawyer Grigoris Ioanidis said he believed the independent disciplinary committee set up by the Greek Athletics Federation (SEGAS) would find them innocent. ""","[{""text"": ""grigoris ioanidis"", ""label"": ""PUBLIC-FIGURE""}]"
Marsh is also the focus of an inquiry the New York attorney-general into whether insurers rigged the market.,"[{""text"": ""marsh"", ""label"": ""PUBLIC-FIGURE""}]"
Mr Spitzer has built up a reputation as a fierce critic and campaigner against corporate America's misdeeds.,"[{""text"": ""spitzer"", ""label"": ""PUBLIC-FIGURE""}]"
"The band have done ""everything in their considerable powers"" to ensure they remain the biggest band in the world, according to Q magazine editor Paul Rees.","[{""text"": ""paul rees"", ""label"": ""AUTHOR-WRITER""}]"
"Cross-selling opportunities between banks and brokers are increasing thanks to deregulation, so we can expect the relationship to get even stronger,"" said Heronry Nozaki, an analyst at NikkoCitigroup.","[{""text"": ""heronry nozaki"", ""label"": ""PUBLIC-FIGURE""}]"
"A lot of this is driven by just the ability to do it,"" said Stephen Baker, a consumer electronics analyst with retail research firm NPD Group. ""","[{""text"": ""stephen baker"", ""label"": ""PUBLIC-FIGURE""}]"
"Claude Errera, editor of fansite Halo.","[{""text"": ""claude errera"", ""label"": ""AUTHOR-WRITER""}]"
"The magazine's music editor Mark Robertson said: ""The idea behind the project was simple - to rediscover the very best of Scottish music, from the finest musical talent spanning from the age of 70s rock through to 80s pop, right up to today's international stars."" ""","[{""text"": ""mark robertson"", ""label"": ""AUTHOR-WRITER""}]"
"BBC Radio Scotland presenter Vic Galloway, who has been involved in the project, said it had been ""great fun"" to look back at Scotland's musical heritage and take note of up-and-coming Scottish acts.","[{""text"": ""vic galloway"", ""label"": ""AUTHOR-WRITER""}]"
"Following Mr Straw's announcement, lawyer Louise Christian, who represents Mr Abbasi and Mr Mubanga, said the government should have acted sooner.","[{""text"": ""straw"", ""label"": ""POLITICIAN""}, {""text"": ""louise christian"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Mr Abbasi"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Mr Mubanga"", ""label"": ""PUBLIC-FIGURE""}]"
"Prosecuting attorney Carol Lam said: ""All US companies should take note that attempting to bribe foreign officials is criminal conduct and will be appropriately prosecuted.""","[{""text"": ""carol lam"", ""label"": ""PUBLIC-FIGURE""}]"
"The feminist writer and broadcaster said Big Brother had behaved ""like a child rather than a parent"" by taunting contestant John McCririck after denying him a cola drink. ""","[{""text"": ""john mccririck"", ""label"": ""PUBLIC-FIGURE""}]"
"The idea of a ""civic commons"" was originally proposed by Stephen Coleman, professor of e-democracy at the Oxford Internet Institute.","[{""text"": ""stephen coleman"", ""label"": ""AUTHOR-WRITER""}]"
"There are common musical elements linking nearly all the big Christmas number ones of recent times,"" said editor David Roberts.","[{""text"": ""david roberts"", ""label"": ""AUTHOR-WRITER""}]"
"A senior defence official, speaking to the BBC's defence correspondent Paul Adams, said that although the figures were still not good enough, the report reflected unrealistic expectations early on in the project cycle.","[{""text"": ""paul adams"", ""label"": ""AUTHOR-WRITER""}]"
Professor Etzioni was a senior adviser to President Carter's White House and is the guru behind communitarian ideas which influenced the development of Blairite Third Way politics.,"[{""text"": ""etzioni"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""carter"", ""label"": ""POLITICIAN""}, {""text"": ""blair"", ""label"": ""POLITICIAN""}]"
"So far, we are faring better than expected, but the results are still split,"" Ken Perkins, an analyst at research firm RetailMetrics LLC, told Associated Press. ""","[{""text"": ""ken perkins"", ""label"": ""PUBLIC-FIGURE""}]"
"Malcolm Seagrave, security expert at Energis, said the most common types of attacks hit sites with 10 megabytes of data over short periods of time.","[{""text"": ""malcolm seagrave"", ""label"": ""PUBLIC-FIGURE""}]"
"Jarre joins fairytale celebration

French musician Jean-Michel Jarre is to perform at a concert in Copenhagen to mark the bicentennial of the birth of writer Hans Christian Andersen.","[{""text"": ""jean-michel jarre"", ""label"": ""MUSICIAN""}, {""text"": ""hans christian andersen"", ""label"": ""AUTHOR-WRITER""}]"
"The pair were at a Manhattan library to honour US literary critic Harold Bloom ""the international icon we thought we knew so well"".","[{""text"": ""harold bloom"", ""label"": ""AUTHOR-WRITER""}]"
"A panel of judges including Sir Trevor McDonald, actor Hugh Grant and writer Joanne Harris will meet up on 25 January to decide the overall winner, with the announcement being made later that evening.","[{""text"": ""trevor mcdonald"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""hugh grant"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""joanne harris"", ""label"": ""AUTHOR-WRITER""}]"
"Scotsman journalist Hamish MacDonell said he believed the bigger picture had been ""obscured"" by the remark.","[{""text"": ""hamish macdonell"", ""label"": ""AUTHOR-WRITER""}]"
"Mr MacDonell, political editor of The Scotsman, said: ""I think we have to say right at the outset that this was a very stupid and ill-advised remark by the first minister. ""","[{""text"": ""macdonell"", ""label"": ""AUTHOR-WRITER""}]"
"There is a whiff of a sweetener in there,"" Anais Faraj, an analyst at Nomura told the BBC's World Business Report. ""","[{""text"": ""anais faraj"", ""label"": ""PUBLIC-FIGURE""}]"
"A lawyer for the victims, Eduardo Contreras, told Reuters news agency: ""This demonstrates that the horrors of the Pinochet dictatorship are not a mystery to anyone and that the whole world knows his victims deserve reparations.""","[{""text"": ""eduardo contreras"", ""label"": ""PUBLIC-FIGURE""}]"
"The possibility of carrying out this project is next to zero,"" said Atinc Ozkan, analyst at Finans Investment in Istanbul.","[{""text"": ""atinc ozkan"", ""label"": ""PUBLIC-FIGURE""}]"
"It is a positive development for carriers and the investment community, looking to take a longer-term view of the huge growth in the Indian telecoms market,"" said Gartner's principal analyst Kobita Desai. ""","[{""text"": ""kobita desai"", ""label"": ""PUBLIC-FIGURE""}]"
"""It was a respectable report,"" said Michael Moran, analyst at Daiwa Securities.","[{""text"": ""michael moran"", ""label"": ""PUBLIC-FIGURE""}]"
"Arthur Hailey: King of the bestsellers

Novelist Arthur Hailey, who has died at the age of 84, was known for his bestselling page-turners exploring the inner workings of various industries, from the hotels to high finance.","[{""text"": ""arthur hailey"", ""label"": ""AUTHOR-WRITER""}]"
"Learning to love broadband

We are reaching the point where broadband is a central part of daily life, at least for some, argues technology analyst Bill Thompson.","[{""text"": ""bill thompson"", ""label"": ""AUTHOR-WRITER""}]"
