sentence,true_tags,predicted_tags
"mr kennedy criticised mr brown for failing to mention the "" ticking bomb "" of council tax rev ##al ##uation , saying it was "" high time "" the system was replaced by a "" local tax based on the ability to pay "" .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O B-POLITICIAN O O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
during his 49 minute speech mr brown told mps he had def ##ied the pun ##dit ##s by hitting his growth target of 3 . 1 % for 2004 .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O
mr brown told mps child benefit would rise to a maximum of £ ##6 ##3 a week for the first child and £1 ##11 for two children .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O
"despite his give ##away ##s , budget documents show mr brown clawed back £2 ##65 ##m through a cl ##amp ##down on tax avoidance and increased revenue from a wind ##fall tax on oil companies .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O
"but trust in mr brown ' s economic steward ##ship would be a central election issue , he said .",O O O O O O O O O O O O O O O O O O O O,O O O O B-POLITICIAN O O O O O O O O O O O O O O O
"mr brown also unveiled plans for a memorial to the queen mother , funded through a special coin to celebrate the queen ' s 80 ##th birthday .",O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O B-PUBLIC-FIGURE O O O O O O,O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O
"mr brown said he had met his financial "" golden rule "" with a £ ##6 ##bn surplus and he said public borrowing would continue to fall over the next five years .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"the first £2 ##bn of value - for - money savings identified in the ge ##rs ##hon review have been achieved , the chancellor said .",O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O
"s ##np leader alex salmon ##d said mr brown had failed the "" tar ##tan test "" as there were no measures to boost the scottish economy .",O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O,O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN O O B-POLITICIAN O O O O O O O O O O O O O O O O O O O
"the green party said the budget was a "" wasted opportunity "" for environmental protection , adding : "" brown obviously has an eye on the coming election , and has taken his eye off the needs of the planet . """,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O
cap ##ria ##ti out of australian open jennifer cap ##ria ##ti has become the third leading lady to withdraw from the australian open because of injury .,O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O,B-ATHLETE I-ATHLETE I-ATHLETE O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O
cap ##ria ##ti is a two - time champion in melbourne with wins in 2001 and 2002 .,O O O O O O O O O O O O O O O O O O,B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O
she is believed to have picked up the injury at the ad ##vant ##a championships at philadelphia in november and had to pull out of an exhibition match with wimbledon champion maria sha ##ra ##po ##va on 17 december .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O
"cap ##ria ##ti also decided against competing in the australian open warm - up event , the sydney international .",O O O O O O O O O O O O O O O O O O O O,B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O
"ki ##lr ##oy un ##ve ##ils immigration policy ex - chat ##sho ##w host robert ki ##lr ##oy - silk has attacked uk policy on immigration saying britain ' s open door approach is hitting low wage "" indigenous "" workers .",O O O O O O O O O O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O,B-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O
"mr ki ##lr ##oy - silk said that worked out at £1 ##43 , 000 per successful asylum seeker .",O O O O O O O O O O O O O O O O O O O O,O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O
he said ve ##rita ##s wanted to grant an amnesty for all those in britain claiming asylum and who have children and de ##port everyone else .,O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O
and mr ki ##lr ##oy - silk said he wanted to spend an extra £5 ##00 ##m a year to help provide for refugees abroad .,O O O O O O O O O O O O O O O O O O O O O O O O O O,O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O
his is the latest in a series of arrests of top executives in japan over business scandals .,O O O O O O O O O O O O O O O O O O,B-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O
there was a time when mr ts ##uts ##umi seemed unto ##uch ##able .,O O O O O O O O O O O O O O,O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O
now mr ts ##uts ##umi faces criminal charges and the possibility of a prison sentence because he made it look as if the 10 biggest shareholders owned less than this amount .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O
"se ##ib ##u railways has been del ##iste ##d from the stock exchange , its share value has plunged and it is the target of a takeover bid .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-ATHLETE I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O
mr ts ##uts ##umi ' s fall from grace follows the arrests of several other top executives in japan as the authorities try to curb the mu ##rky business practices which were once widespread in japanese companies .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"i felt enormous pressure when i din ##ed with him and it was nothing but pain , "" ts ##uts ##umi told a weekly magazine in 1987 . """,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O
"wen ##ger de ##jected as arsenal slump arsenal manager ars ##ene wen ##ger claimed their display in the 3 - 1 defeat against bayern munich was "" our worst pe ##form ##ance in the champions league "" .",O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O
"ko ##lo tour ##e ' s late goal gives the gunners hope for the second leg , but wen ##ger said : "" the only positive is that we are still in the tie . """,B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O
"goalscorer tour ##e was also at fault for two goals , and wen ##ger said : "" we need to help tour ##e rebuild his confidence as he is low at the moment . """,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O B-ATHLETE I-ATHLETE O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O
"wen ##ger also tried to stay upbeat himself , adding : "" but there is enough time for crying .",O O O O O O O O O O O O O O O O O O O O,B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O
but wen ##ger ' s bayern counterpart felix mag ##ath was in no mood to celebrate either .,O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O,O B-ATHLETE I-ATHLETE O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O
"banda ##id was the fastest ever - selling ring ##tone this year , according to the md ##a , and chat was given some publicity when prime minister tony blair answered questions through mobile text chat .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-POLITICIAN I-POLITICIAN O O O O O O O,B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O B-POLITICIAN I-POLITICIAN O O O O O O O
"in a speech at the london school of economics , william donaldson promised "" several initiatives "" .",O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O,O O O O O O O O O O B-POLITICIAN I-POLITICIAN O O O O O O
"mr donaldson said that although the act does not provide exemption ##s for foreign firms , the securities and exchange commission ( sec ) would "" continue to be sensitive to the need to acc ##omo ##date foreign structures and requirements "" .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O B-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"mr donaldson said the sec would "" consider whether there should be a new approach to the der ##eg ##ist ##ration process "" for foreign firms unwilling to meet us requirements .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O B-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"it was led by dig ##by jones , director general of the uk ' s confederation of british industry ( cb ##i ) and included representatives of bas ##f , siemens and cad ##bury sc ##h ##we ##ppe ##s .",O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER B-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"instead , the cost of sar ##bane ##s - ox ##ley has persuaded them to stick to a single listing in hong kong , according to press reports in china .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O
labour says it wants to retain the property - based tax but reform it to make it fair ##er and says there is scope for councils to become more efficient .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"an independent inquiry into its findings , the lyons review , is due to report back at the end of 2005 .",O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O B-POLITICIAN O O O O O O O O O O O O O
"the tori ##es have promised a reduction on bills for pension ##ers , who they say have been hardest hit by year - on - year increases in council tax .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O
the tori ##es also say they are suspicious about any proposals to rev ##al ##ue homes - currently graded according to their value in 1991 - because they believe seven million of homes could move up a band .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"it is the sort of move you would expect from walter , who is a can ##ny manager .",O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O B-ATHLETE O O O O O O O O
new york rocker ##s top talent poll new york electro - rock group the bravery have come top of the bbc news website ' s sound of 2005 poll to find the music scene ' s most promising new act .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O
rock band keane won sound of 2004 while us rapper 50 cent topped sound of 2003 .,O O O O O O O O O O O O O O O O O,O O B-MUSICIAN O O O O O O O B-MUSICIAN I-MUSICIAN O O O O O
other new artists in this year ' s list include london indie group bloc party at second and uk rapper kan ##o third .,O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN O
"the bravery played their first gig in 2003 and have since supported bands including the li ##bert ##ines , inter ##pol and echo and the bunny ##men .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-MUSICIAN I-MUSICIAN O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN O B-MUSICIAN O B-MUSICIAN I-MUSICIAN I-MUSICIAN O
"one of the experts to tip the bravery was the times ' music critic paul connolly , who said they were "" sp ##ik ##y but in love with pop "" .",O O O O O O O O O O O O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O
"chris hawkins , host of bbc 6 music ' s chart show , said the band had "" great guitars and a mastery of the electro - clash sound "" . """,B-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-PUBLIC-FIGURE I-MUSICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"nigel harding , head of music at london rock radio station x ##fm , said every track from their live set "" sounded like a potential single "" .",B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O O O O
"un ##con ##ditional reached the summit of the station ' s listeners ' chart within a fort ##night of its first play , which mr harding described as "" an un ##heard of achievement for a debut single "" .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O
"q magazine reviews editor ted ke ##ssler said they were "" pretty - boy new york clothes horses "" with "" an unusually ni ##mble ear for con ##cise , yearning pop in the mo ##uld of duran duran or the strokes "" .",O O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN O O O O O
"other pun ##dit ##s to take part in the survey included bbc radio 1 dj trevor nelson , nme editor conor mc ##nic ##hol ##as , top of the pops presenter fear ##ne cotton , g ##las ##ton ##bury organise ##r emily ea ##vis and bbc radio 2 music editor colin martin .",O O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O,O O O O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O
"elsewhere on the top 10 , second - placed rock band bloc party began their rise after supporting franz ferdinand and uk garage mc kan ##o , in third , is signed to the streets ' record label .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN O O O O B-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O
us rapper the game is hip - hop great dr dr ##e ' s latest protege while leeds group kaiser chiefs came fifth with a promise to lead a brit ##pop revival .,O O O O O O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O O O O O O,O O B-MUSICIAN I-MUSICIAN O O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O B-MUSICIAN I-MUSICIAN O O O O O O O O O O O O
"in last year ' s survey , keane were followed by franz ferdinand , razor ##light and jo ##ss stone in the top five - all of whom were virtually unknown outside the music industry at that point .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O B-MUSICIAN O O O B-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O O O O
"boy band mc ##fly were sixth while sci ##sso ##r sisters , who had the uk ' s best - selling album of 2004 , were seventh .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O I-MUSICIAN O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O O
"consumers are far more interested in how hands ##ets fit in with their lifestyle than they are in screen size , onboard memory or the chip inside , shows an in - depth study by telecommunications company eric ##sson . """,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O
"for the study , eric ##sson interviewed 14 , 000 mobile phone owners on the ways they use their phone . """,O O O O O O O O O O O O O O O O O O O O O O,O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O
"people ' s habits remain the same , "" said dr bjorn . """,O O O O O O O O O O O O O O,O O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER O O
young ##sters ' use of text messages also reflects their desire to chat and keep in contact with friends and again just lets them do it in a slightly changed way .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"dr bjorn said that although consumers do what they always did but use a phone to do it , the sheer variety of what the new hands ##et technologies make possible does gradually drive new habits and lifestyle ##s .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O B-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"eric ##sson ' s research has shown that consumers divide into different "" tribes "" that use phones in different ways .",O O O O O O O O O O O O O O O O O O O O O O,B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O
"dr bjorn said groups dubbed "" pioneers "" and "" material ##ists "" were most interested in trying new things and were behind the start of many trends in phone use . """,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O B-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
dr bjorn said that early reports of camera phone usage in japan seemed to imply that the innovation was going to be a flop .,O O O O O O O O O O O O O O O O O O O O O O O O O,O B-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O
"however , he said , now 45 % of the japanese people eric ##sson questioned use their camera phone at least once a month .",O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O
"dr bjorn said that people also used their camera phones in very different ways to film and even digital cameras . """,O O O O O O O O O O O O O O O O O O O O O O,O B-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O
"it is a pilot project run by ed ##u ##vision , which is looking at ways to use low cost computer systems to get up - to - date information to students who are currently stuck with ancient textbooks .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"matthew herr ##en from ed ##u ##vision told the bbc programme go digital how the non - governmental organisation uses a combination of satellite radio and handheld computers called e - slate ##s . """,B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"but mr herr ##en says there are both pro ##s and con ##s to the project . """,O O O O O O O O O O O O O O O O O O,O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O
ed ##u ##vision is planning to include audio and video files as the system develops and add more content .,O O O O O O O O O O O O O O O O O O O O,B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O
mr herr ##en says this would vastly increase the opportunities available to the students .,O O O O O O O O O O O O O O O,O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O
"but mr herr ##en says ed ##u ##vision already has plans to extend it to more remote regions . """,O O O O O O O O O O O O O O O O O O O O,O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O
"mac ##ie ##j sun ##dra , who designed the user interface for the e - slate ##s , says the project ' s ultimate goal is level ##ling access to knowledge around the world . """,B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"tory ' stalking horse ' meyer dies sir anthony meyer , the tory back ##ben ##cher who challenged margaret thatcher for the party leadership in 1989 , has died .",O O O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O,O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O
"meyer ' s constituency party , cl ##wy ##d north west , which he had represented as an mp for more than 20 years , des ##ele ##cted him as a result of that challenge .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-POLITICIAN O O O O O O O I-POLITICIAN O O O O O O O O O O O O O O O O B-POLITICIAN O O O O O O O O O O
"sir anthony john charles meyer was born on 27 october , 1920 .",O O O O O O O O O O O O O,O B-PUBLIC-FIGURE I-AUTHOR-WRITER I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O
"labour regained the seat two years later , and meyer had to wait until 1970 before he could re - enter parliament .",O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O B-POLITICIAN O O O O O O O O O O O O O
"spokesman alan jones said he expected 150 , 000 shop ##pers to have visited by the end of saturday and a further 100 , 000 on sunday . """,O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O,O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O
