tokens,ner_tags,keyword
blair ' pressing us on climate ',B-POLITICIAN O O O O O O,NONE
officials have confirmed climate change was discussed when influential senator john mccain recently visited mr blair .,O O O O O O O O O O B-POLITICIAN I-POLITICIAN O O O B-POLITICIAN O,NONE
but he played down reports mr blair was considering a new us - friendly treaty .,O O O O O O B-POLITICIAN O O O O O O O O O,NONE
president bush ' s advisers have repeatedly denied global warming is taking place .,O B-POLITICIAN O O O O O O O O O O O O,NONE
mr straw said he hoped the agreement would make a difference to kashmir ##is .,O B-POLITICIAN O O O O O O O O O O O O O,NONE
"on thursday mr straw was in india visiting sikh ##ism ' s ho ##liest shrine , the golden temple in am ##rit ##sar where he tried his hand at making indian bread or rot ##i .",O O O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
jones medals ' must go if guilty ',B-ATHLETE O O O O O O O,NONE
"the award - winning trilogy - northern lights , the subtle knife and the amber spy ##glass - tell the story of oxford school child l ##yra bela ##c ##qua .",O O O O O O O O O O O O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O,NONE
"for the li ##b dem ##s , simon hughes said many pension ##ers are means tested for the money they needed and students who were told there wouldn ' t be tuition fees and more debt "" have been given exactly the opposite "" .",O O O O O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
both the cardinal and archbishop of canterbury dr rowan williams appealed for the weapons inspectors to be given more time in iraq before the war started .,O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O,NONE
patti smith to host arts festival,B-MUSICIAN I-MUSICIAN O O O O,NONE
"last year , jackson exposed a breast during a dance routine , causing outrage among millions of tv viewers and landing the cbs tv network a fine .",O O O B-MUSICIAN O O O O O O O O O O O O O O O O O O O O O O O O,NONE
"black eyed peas singer fe ##rg ##ie was dressed in a tight orange top and purple hot ##pants , but nothing in her performance was likely to upset tv watch ##dog ##s .",O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
the issue entered the public spotlight when norfolk farmer tony martin was jailed for shooting dead a 16 - year - old bu ##rg ##lar in 1999 as he ran away from the farm .,O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O,NONE
"asked about sir ian ' s comments , the prime minister ' s official spokesman said : "" we believe the threat is real . """,O O O B-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O,NONE
"but mr blair insisted : "" there is no greater civil liberty than to live free from terrorist attack . """,O O B-POLITICIAN O O O O O O O O O O O O O O O O O O,NONE
the 22 - year - old sc ##ot finished fourth in the 60 ##m hurdles at the jose m ca ##gi ##gal memorial meeting in madrid .,O O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
"carry on star patsy rowland ##s dies actress patsy rowland ##s , known to millions for her roles in the carry on films , has died at the age of 71 .",O O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O O O O O O O O O O O O O O O O,NONE
"shadow europe minister mr brady said : "" i believe it is essential that britain keeps the re ##bate and i think it ' s a crucial test of how firmly the british government is prepared to stand up for britain internationally in europe .",O O O O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
model anna nicole smith ' s reality show and the dukes of ha ##zza ##rd were runners - up in the broadcast magazine survey .,O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O,NONE
collins ran in birmingham at the 2003 world indoor championships .,B-ATHLETE O O O O O O O O O O,NONE
mr abbas confirmed israel shared information with the pa in the hunt for the organise ##rs of the attack .,O B-POLITICIAN O O O O O O O O O O O O O O O O O O,NONE
tuesday ' s meeting on palestinian reform is being hosted by british prime minister tony blair .,O O O O O O O O O O O O O O B-POLITICIAN I-POLITICIAN O,NONE
"also due to attend are us secretary of state condo ##lee ##zza rice , un secretary general ko ##fi anna ##n , world bank officials and foreign ministers from 23 european and arab countries .",O O O O O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O,NONE
"mo ##uri ##nh ##o had his say on that game , complaining : "" five - four is a hockey score , not a football score .",B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O,NONE
police said ferguson posed a danger to the public .,O O B-ATHLETE O O O O O O O,NONE
"ferguson , who slashed a man in a doctors ' surgery in coat ##bridge in 1994 , had been out to see his fia ##nc & # 233 ; e anna ##bella holmes , 47 , whom he met when she was a patient at the high security complex in south lana ##rks ##hire .",B-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O,NONE
"although it has been widely predicted that mr gates would be showcasing the new xbox , some media reports have cast doubt on what he would be talking about in the keynote .",O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O,NONE
"muse were also named best uk and ireland act , ahead of franz ferdinand , natasha bed ##ing ##field , jam ##elia and the streets .",B-MUSICIAN O O O O O O O O O O O B-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN O,NONE
"row ##ling revealed she had completed the novel on tuesday , ahead of the scheduled announcement on 25 december .",B-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O,NONE
"j ##k row ##ling ' s fifth book in the wizard series , harry potter and order of the phoenix was amazon ' s largest pre - ordered item ever , with 420 , 000 copies pre - ordered prior to its release in june 2003 .",B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
row ##ling has already revealed that the half - blood prince is neither harry nor vol ##de ##mo ##rt .,B-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O B-PUBLIC-FIGURE O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O,NONE
"row ##ling said she had plenty of time while pregnant "" to tin ##ker with the manuscript to my satisfaction and i am as happy as i have ever been with the end result "" .",B-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
"and david sc ##h ##wi ##mmer ( ross ) directed during his time on friends , and has also worked on joey .",O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O B-PUBLIC-FIGURE O O O O O O O O O O O O O O O,NONE
the vh1 first music award went to cher honour ##ing her achievements within the music industry .,O O O O O O O B-MUSICIAN O O O O O O O O O,NONE
reports have claimed mr blu ##nk ##ett chaired a meeting to discuss delays in the visa system after he learned of nanny leon ##cia casa ##lm ##e ' s wait .,O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O,NONE
"special guest , singer gwen stefan ##i , joined her on - stage to promote her own range of hp digital cameras which ms stefan ##i has helped design and which are heavily influenced by japanese youth culture .",O O O O B-MUSICIAN B-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O,NONE
"his british - born wife , joan , suggested he had nothing to lose and , for his swans ##ong , should write the kind of characters he really wanted to create .",O O O O O O B-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
"the incredible hulk , the mighty thor , iron man and the rest all gr ##apple ##d with problems like drug abuse , big ##ot ##ry and social inequality .",B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O,NONE
"dared ##ev ##il was blind , black panther was black and silver surfer pondered the state of humanity .",B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O,NONE
"some years ago the marvel hero , north ##star , came out of the closet .",O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O,NONE
"scottish finance minister , tom mcc ##abe ms ##p , said : "" last week in parliament i announced an additional £ ##41 ##9 ##m for core expenditure to local government in scotland .",O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
"glen wood , vice president of deutsche securities japan , asks ; "" who ' s going to fund the pension fund for the next generation and indeed who are going to be the new japanese worker ?",B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,vice president
wen ##ger signs new deal,B-ATHLETE I-ATHLETE O O O,NONE
""" i believe that the generation that provided the finance to combat , cure and era ##dicate the world ' s dead ##liest disease of today - and today the world ' s least cu ##rable disease - hiv / aids - will right ##ly earn the title ' the great generation ' , "" mr brown said in a speech during his african tour .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-POLITICIAN O O O O O O O O O,NONE
but aid charity action ##aid criticised mr brown ' s pre ##oc ##cup ##ation with finding a vaccine and called on g ##8 nations to fund hiv / aids treatments .,O O O O O O O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O,NONE
"on wednesday , mr brown visited sl ##ums in the kenyan capital nairobi .",O O O O B-POLITICIAN O O O O O O O O O,NONE
"former union leader sir bill morris has already accused both the big parties of engaging in a "" bidding war about who can be nas ##ties ##t to asylum seekers "" .",O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
"muse , whose members met in south devon , beat franz ferdinand , jamie cu ##llum , ka ##sa ##bian and the li ##bert ##ines for best british live act .",B-MUSICIAN O O O O O O O O O B-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O,NONE
"indie rock group muse consists of matthew bellamy , chris wo ##ls ##ten ##holm ##e and dominic howard who met in their early teens in te ##ign ##mouth , south devon .",O O O O O O B-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O,NONE
"michelle pa ##ver ' s wolf brother , a fantasy set 6 , 000 years ago , is the first in a planned series of six books .",B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
"it was published in 2004 , with pa ##ver earning an advance of $ 5 ##m ( £2 . 8 ##m ) - the highest sum ever paid for a debut children ' s book .",O O O O O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
pa ##ver is currently writing the second book in the series .,B-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O,NONE
""" michelle pa ##ver lives and breathe ##s the worlds she writes about , "" said a spokesman for the author .",O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O,author
the sight of former royal correspondent jennie bond with dozens of rats crawling over her in itv ' s i ' m a celebrity get me out of here was named best factual entertainment moment .,O O O O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O O O O O O O O O O O,correspondent
brown hits back in blair rift row,B-POLITICIAN O O O B-POLITICIAN O O,NONE
dame muriel spark is among three british authors who have made the short ##list for the inaugural international booker prize .,B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O,NONE
"gabriel garcia marquez , saul bell ##ow , milan kun ##der ##a and john up ##di ##ke also feature on the 18 - strong list of world literary figures .",B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O,NONE
"but other past winners of the regular booker prize , such as salman rush ##die , j ##m coe ##tze ##e and ka ##zu ##o is ##hi ##gur ##o have failed to make the short ##list .",O O O O O O O O O O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O,NONE
margaret at ##wood ( canada ) saul bell ##ow ( canada ) gabriel garcia marquez ( colombia ) gunter grass ( germany ) ismail ka ##dar ##e ( albania ),B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O,NONE
milan kun ##der ##a ( czech republic ) stan ##is ##law le ##m ( poland ) doris less ##ing ( uk ) ian mc ##ew ##an ( uk ) na ##gui ##b ma ##h ##fo ##uz ( egypt ) tomas el ##oy martinez ( argentina ) ken ##za ##buro o ##e ( japan ) cynthia oz ##ick ( us ) philip roth ( us ) muriel spark ( uk ) antonio tab ##uc ##chi ( italy ) john up ##di ##ke ( us ) abraham b ye ##hosh ##ua ( israel ),B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O,NONE
"chief executive steve jobs showed off the new machine at his annual mac ##world speech , in san francisco .",O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O,chief executive
mr jobs told the delegates at mac ##world that ipod already had a 65 % market share of all digital music players .,O B-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O,NONE
speculation that president bush was getting help during debates via a listening device was first aired on web logs .,O O O B-POLITICIAN O O O O O O O O O O O O O O O O,NONE
"double olympic champion kelly holmes was back to her best as she comfortably won the 1 , 000 ##m at the norwich union birmingham indoor grand prix .",O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O,NONE
"the scottish conservative party leader , david mc ##let ##chi ##e , questioned what would be exempt ##ed from the ban .",O O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O,NONE
"this week colin powell , us secretary of state was visiting the west bank to stress us support for a smooth palestinian election in january .",O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O,NONE
howard hits back at mon ##gre ##l ji ##be,B-POLITICIAN O O O O O O O O,NONE
this morning peter hai ##n even called me a mon ##gre ##l .,O O B-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O,NONE
""" she ' s not a human shield mr blair , she ' s a human being . """,O O O O O O O O O B-POLITICIAN O O O O O O O O O,NONE
you ##sso ##u n ' do ##ur wins music prize,B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O O O,NONE
senegal ##ese musician you ##sso ##u n ' do ##ur has been named a winner of a bbc radio 3 world music award .,O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O,NONE
"cuban pianist be ##bo val ##des and flame ##nco singer diego el ci ##gal ##a , responsible for critically acclaimed album la ##gr ##ima ##s ne ##gra ##sm ##us ##ic , won an award in the "" boundary crossing "" category .",O O B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
scrub ##s star zach bra ##ff was named best new director for his debut garden state .,O O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O O O O O O,NONE
his name is to ##te king and manuel mill ##an says that he is the hip - hop leader in spain .,O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O,NONE
"clint eastwood ' s million dollar baby re - entered the charts at number eight , following its recent success at the oscar ##s .",B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O O O O O O O O O O O O O O O O O O,NONE
"pal ##ania ##ppa ##n chi ##dam ##bara ##m , india ' s finance minister , argued that these organisations need to take into account the changing world order , given india and china ' s integration into the global economy .",B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
blair returns from peace mission,B-POLITICIAN O O O O,NONE
mr blair also made a surprise trip to iraq this week .,O B-POLITICIAN O O O O O O O O O O,NONE
mr blair briefly visited the tomb of ya ##sser ara ##fat in rama ##llah - the first world leader to do so .,O B-POLITICIAN O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O,NONE
"mr blair acknowledged some people believed he was too close to the israelis , but said the israelis were entitled to expect palestinians to give up terrorism .",O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
"earlier , mr sharon again said he had not seen "" the slightest step "" the palestinians were working to end terror attacks - though he acknowledged palestinian leaders were in the middle of an election campaign that could be ham ##per ##ing their efforts .",O O O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
kid ##man wins photographer battle,B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O,NONE
actress nicole kid ##man has won a restraining order against two papa ##raz ##zi photographers who she claims left her fearful of leaving her sydney mansion .,O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O O O O O O O O O O O O O O O O O O,NONE
"according to local newspaper the daily telegraph , the incident involved papa ##raz ##zi driving through red lights and on the wrong side of the road in pursuit of kid ##man ' s vehicle .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O,NONE
"kid ##man sought the "" app ##re ##hend ##ed violence "" orders - normally used in australia in cases of domestic violence and similar incidents - after being advised to do so by local police .",B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
""" nicole would like to make it clear that she acknowledges she is a public figure and that reporters and photographers have a job to do and she respects that , "" said kid ##man ' s public ##ist wendy day .",O B-ACTOR-DIRECTOR O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O,NONE
""" miss kid ##man says she ' s willing to put up with some of it , but it ' s gone beyond that , "" she said .",O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
the offer comes as the foreign secretary jack straw arrives in indonesia for a special summit meeting on the disaster .,O O O O O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O,NONE
"on the question of whether such papers have always been kept confidential , tory mp michael mates , who is a member of the commons intelligence and security committee and was part of the butler inquiry , told the bbc : "" that , as a general rule , is right , but it ' s not an absolute rule . """,O O O O O O O O O O O O O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
"he said there had been other occasions when advice had been published , most recently regarding prince charles ' s marriage plans .",O O O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O,NONE
alicia keys to open us super bowl,B-MUSICIAN I-MUSICIAN O O O O O,NONE
butler launches attack on blair,B-POLITICIAN O O O B-POLITICIAN,NONE
but beck ##ham revealed that his immediate priority was winning the spanish league title with real madrid .,O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O,NONE
"in a wide - ranging interview , beck ##ham also revealed that his sending - off against argentina - and the resulting media storm - had been the most significant moment in his career .",O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
fu ##ming robinson blasts officials,O O B-ATHLETE O O,NONE
police discover edwards ' car in a car park near the severn bridge near bristol - a notorious suicide spot .,O O B-MUSICIAN O O O O O O O O O O O O O O O O O O,NONE
"but you don ' t know what the unexpected will be and as the musical director , it ' s exciting , "" explains con ##ti .",O O O O O O O O O O O O O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN O,NONE
"his name became linked with the charles manson murders , which saw the deaths of actress sharon tate and four of her friends at a home which mel ##cher once rented .",O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O O O O B-MUSICIAN I-MUSICIAN O O O,NONE
"robert red ##ford founded sundance in 1981 and it has gone on to showcase future successes such as reservoir dogs , the blair witch project and the full monty .",B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
tara ##ntino to direct csi episode,B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O,NONE
german chancellor gerhard sc ##hr ##oed ##er has called for radical reform of the eu ' s stability pact to grant countries more flexibility over their budget deficit ##s .,O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O,NONE
goldsmith denies war advice claim,B-POLITICIAN O O O O,NONE
""" that ' s what he ( lord goldsmith ) said and that ' s what i say .",O O O O O O O O B-POLITICIAN O O O O O O O O O O,NONE
camp ##ese be ##rates w ##hing ##ein ##g england,B-ATHLETE I-ATHLETE O O O O O O O,NONE
"so ##der ##berg ##h returns to direct the hit sequel which reunite ##s cl ##oon ##ey , pitt and roberts with matt damon , andy garcia and elliott gould .",B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O O O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O B-ACTOR-DIRECTOR O B-ACTOR-DIRECTOR O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O,NONE
