sentence_id,sentence,ner_entities
entertainment_133.txt_337,"Black Eyed Peas singer Fergie was dressed in a tight orange top and purple hotpants, but nothing in her performance was likely to upset TV watchdogs.","[{""text"": ""Fergie"", ""label"": ""MUSICIAN""}]"
politics_034.txt_313,The issue entered the public spotlight when Norfolk farmer Tony Martin was jailed for shooting dead a 16-year-old burglar in 1999 as he ran away from the farm.,"[{""text"": ""Tony Martin"", ""label"": ""PUBLIC-FIGURE""}]"
politics_379.txt_290,"Asked about Sir Ian's comments, the prime minister's official spokesman said: ""We believe the threat is real.""","[{""text"": ""Ian"", ""label"": ""PUBLIC-FIGURE""}]"
politics_379.txt_411,"But Mr Blair insisted: ""There is no greater civil liberty than to live free from terrorist attack.""","[{""text"": ""Blair"", ""label"": ""POLITICIAN""}]"
sport_086.txt_31,The 22-year-old Scot finished fourth in the 60m hurdles at the Jose M Cagigal Memorial meeting in Madrid.,[]
entertainment_307.txt_0,"Carry On star Patsy Rowlands dies

Actress Patsy Rowlands, known to millions for her roles in the Carry On films, has died at the age of 71.","[{""text"": ""Patsy Rowlands"", ""label"": ""ACTOR-DIRECTOR""}]"
politics_373.txt_367,"Shadow Europe minister Mr Brady said: ""I believe it is essential that Britain keeps the rebate and I think it's a crucial test of how firmly the British government is prepared to stand up for Britain internationally in Europe.","[{""text"": ""Brady"", ""label"": ""POLITICIAN""}]"
entertainment_217.txt_57,Model Anna Nicole Smith's reality show and The Dukes of Hazzard were runners-up in the Broadcast magazine survey.,"[{""text"": ""Anna Nicole Smith"", ""label"": ""PUBLIC-FIGURE""}]"
sport_010.txt_79,Collins ran in Birmingham at the 2003 World Indoor Championships.,"[{""text"": ""Collins"", ""label"": ""ATHLETE""}]"
politics_209.txt_100,Mr Abbas confirmed Israel shared information with the PA in the hunt for the organisers of the attack.,"[{""text"": ""Abbas"", ""label"": ""POLITICIAN""}]"
politics_209.txt_256,Tuesday's meeting on Palestinian reform is being hosted by British Prime Minister Tony Blair.,"[{""text"": ""Tony Blair"", ""label"": ""POLITICIAN""}]"
politics_209.txt_272,"Also due to attend are US Secretary of State Condoleezza Rice, UN Secretary General Kofi Annan, World Bank officials and foreign ministers from 23 European and Arab countries.","[{""text"": ""Condoleezza Rice"", ""label"": ""POLITICIAN""}, {""text"": ""Kofi Annan"", ""label"": ""POLITICIAN""}]"
sport_218.txt_666,"Mourinho had his say on that game, complaining: ""Five-four is a hockey score, not a football score.","[{""text"": ""Mourinho"", ""label"": ""ATHLETE""}]"
politics_174.txt_382,Police said Ferguson posed a danger to the public.,"[{""text"": ""Ferguson"", ""label"": ""ATHLETE""}]"
politics_174.txt_634,"Ferguson, who slashed a man in a doctors' surgery in Coatbridge in 1994, had been out to see his fianc&#233;e Annabella Holmes, 47, whom he met when she was a patient at the high security complex in South Lanarkshire.","[{""text"": ""Ferguson"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Annabella Holmes"", ""label"": ""PUBLIC-FIGURE""}]"
tech_163.txt_620,"Although it has been widely predicted that Mr Gates would be showcasing the new Xbox, some media reports have cast doubt on what he would be talking about in the keynote.","[{""text"": ""Gates"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
entertainment_153.txt_525,"Muse were also named best UK and Ireland act, ahead of Franz Ferdinand, Natasha Bedingfield, Jamelia and The Streets.","[{""text"": ""Muse"", ""label"": ""MUSICIAN""}, {""text"": ""Franz Ferdinand"", ""label"": ""MUSICIAN""}, {""text"": ""Natasha Bedingfield"", ""label"": ""MUSICIAN""}, {""text"": ""Jamelia"", ""label"": ""MUSICIAN""}, {""text"": ""The Streets"", ""label"": ""MUSICIAN""}]"
entertainment_025.txt_56,"Rowling revealed she had completed the novel on Tuesday, ahead of the scheduled announcement on 25 December.","[{""text"": ""Rowling"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_025.txt_97,"JK Rowling's fifth book in the wizard series, Harry Potter and Order of the Phoenix was Amazon's largest pre-ordered item ever, with 420,000 copies pre-ordered prior to its release in June 2003.","[{""text"": ""JK Rowling"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Harry Potter"", ""label"": ""PUBLIC-FIGURE""}]"
entertainment_025.txt_237,Rowling has already revealed that the Half-Blood Prince is neither Harry nor Voldemort.,"[{""text"": ""Rowling"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Harry"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Voldemort"", ""label"": ""PUBLIC-FIGURE""}]"
entertainment_025.txt_273,"Rowling said she had plenty of time while pregnant ""to tinker with the manuscript to my satisfaction and I am as happy as I have ever been with the end result"".","[{""text"": ""Rowling"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_176.txt_282,"And David Schwimmer (Ross) directed during his time on Friends, and has also worked on Joey.","[{""text"": ""David Schwimmer"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Ross"", ""label"": ""PUBLIC-FIGURE""}]"
entertainment_286.txt_203,The VH1 First Music Award went to Cher honouring her achievements within the music industry.,"[{""text"": ""Cher"", ""label"": ""MUSICIAN""}]"
politics_166.txt_317,Reports have claimed Mr Blunkett chaired a meeting to discuss delays in the visa system after he learned of nanny Leoncia Casalme's wait.,"[{""text"": ""Blunkett"", ""label"": ""POLITICIAN""}, {""text"": ""Leoncia Casalme"", ""label"": ""PUBLIC-FIGURE""}]"
tech_228.txt_318,"Special guest, singer Gwen Stefani, joined her on-stage to promote her own range of HP digital cameras which Ms Stefani has helped design and which are heavily influenced by Japanese youth culture.","[{""text"": ""Gwen Stefani"", ""label"": ""MUSICIAN""}, {""text"": ""Stefani"", ""label"": ""MUSICIAN""}]"
entertainment_305.txt_235,"His British-born wife, Joan, suggested he had nothing to lose and, for his swansong, should write the kind of characters he really wanted to create.","[{""text"": ""Joan"", ""label"": ""PUBLIC-FIGURE""}]"
entertainment_305.txt_537,"The Incredible Hulk, The Mighty Thor, Iron Man and the rest all grappled with problems like drug abuse, bigotry and social inequality.","[{""text"": ""The Incredible Hulk"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""The Mighty Thor"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Iron Man"", ""label"": ""PUBLIC-FIGURE""}]"
entertainment_305.txt_606,"Daredevil was blind, Black Panther was black and Silver Surfer pondered the state of humanity.","[{""text"": ""Daredevil"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Black Panther"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Silver Surfer"", ""label"": ""PUBLIC-FIGURE""}]"
entertainment_305.txt_628,"Some years ago the Marvel hero, Northstar, came out of the closet.","[{""text"": ""Northstar"", ""label"": ""PUBLIC-FIGURE""}]"
politics_241.txt_95,"Scottish Finance Minister, Tom McCabe MSP, said: ""Last week in parliament I announced an additional £419m for core expenditure to local government in Scotland.","[{""text"": ""Tom McCabe"", ""label"": ""POLITICIAN""}]"
business_287.txt_526,"Glen Wood, Vice President of Deutsche Securities Japan, asks; ""Who's going to fund the pension fund for the next generation and indeed who are going to be the new Japanese worker?","[{""text"": ""Glen Wood"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
sport_196.txt_0,Wenger signs new deal,"[{""text"": ""Wenger"", ""label"": ""ATHLETE""}]"
politics_366.txt_116,"""I believe that the generation that provided the finance to combat, cure and eradicate the world's deadliest disease of today - and today the world's least curable disease - HIV/Aids - will rightly earn the title 'the great generation',"" Mr Brown said in a speech during his African tour.","[{""text"": ""Brown"", ""label"": ""POLITICIAN""}]"
politics_366.txt_414,But Aid charity Actionaid criticised Mr Brown's preoccupation with finding a vaccine and called on G8 nations to fund HIV/Aids treatments.,"[{""text"": ""Brown"", ""label"": ""POLITICIAN""}]"
politics_366.txt_527,"On Wednesday, Mr Brown visited slums in the Kenyan capital Nairobi .","[{""text"": ""Brown"", ""label"": ""POLITICIAN""}]"
politics_334.txt_326,"Former union leader Sir Bill Morris has already accused both the big parties of engaging in a ""bidding war about who can be nastiest to asylum seekers"".","[{""text"": ""Bill Morris"", ""label"": ""PUBLIC-FIGURE""}]"
entertainment_251.txt_57,"Muse, whose members met in south Devon, beat Franz Ferdinand, Jamie Cullum, Kasabian and The Libertines for best British live act.","[{""text"": ""Muse"", ""label"": ""MUSICIAN""}, {""text"": ""Franz Ferdinand"", ""label"": ""MUSICIAN""}, {""text"": ""Jamie Cullum"", ""label"": ""MUSICIAN""}, {""text"": ""Kasabian"", ""label"": ""MUSICIAN""}, {""text"": ""The Libertines"", ""label"": ""MUSICIAN""}]"
entertainment_251.txt_313,"Indie Rock group Muse consists of Matthew Bellamy, Chris Wolstenholme and Dominic Howard who met in their early teens in Teignmouth, south Devon.","[{""text"": ""Matthew Bellamy"", ""label"": ""MUSICIAN""}, {""text"": ""Chris Wolstenholme"", ""label"": ""MUSICIAN""}, {""text"": ""Dominic Howard"", ""label"": ""MUSICIAN""}]"
entertainment_304.txt_36,"Michelle Paver's Wolf Brother, a fantasy set 6,000 years ago, is the first in a planned series of six books.","[{""text"": ""Michelle Paver"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_304.txt_160,"It was published in 2004, with Paver earning an advance of $5m (£2.8m) - the highest sum ever paid for a debut children's book.","[{""text"": ""Paver"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_304.txt_238,Paver is currently writing the second book in the series.,"[{""text"": ""Paver"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_304.txt_249,"""Michelle Paver lives and breathes the worlds she writes about,"" said a spokesman for the author.","[{""text"": ""Michelle Paver"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_189.txt_136,The sight of former royal correspondent Jennie Bond with dozens of rats crawling over her in ITV's I'm a Celebrity Get Me Out of Here was named best factual entertainment moment.,"[{""text"": ""Jennie Bond"", ""label"": ""AUTHOR-WRITER""}]"
politics_095.txt_0,Brown hits back in Blair rift row,"[{""text"": ""Brown"", ""label"": ""POLITICIAN""}, {""text"": ""Blair"", ""label"": ""POLITICIAN""}]"
entertainment_017.txt_5,"

Dame Muriel Spark is among three British authors who have made the shortlist for the inaugural international Booker Prize.","[{""text"": ""Dame Muriel Spark"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_017.txt_90,"

Gabriel Garcia Marquez, Saul Bellow, Milan Kundera and John Updike also feature on the 18-strong list of world literary figures.","[{""text"": ""Gabriel Garcia Marquez"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Saul Bellow"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Milan Kundera"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""John Updike"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_017.txt_117,"But other past winners of the regular Booker Prize, such as Salman Rushdie, JM Coetzee and Kazuo Ishiguro have failed to make the shortlist.","[{""text"": ""Salman Rushdie"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""JM Coetzee"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Kazuo Ishiguro"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_017.txt_221,"



Margaret Atwood (Canada) Saul Bellow (Canada) Gabriel Garcia Marquez (Colombia) Gunter Grass (Germany) Ismail Kadare (Albania)","[{""text"": ""Margaret Atwood"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Saul Bellow"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Gabriel Garcia Marquez"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Gunter Grass"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Ismail Kadare"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_017.txt_248,Milan Kundera (Czech Republic) Stanislaw Lem (Poland) Doris Lessing (UK) Ian McEwan (UK) Naguib Mahfouz (Egypt) Tomas Eloy Martinez (Argentina) Kenzaburo Oe (Japan) Cynthia Ozick (US) Philip Roth (US) Muriel Spark (UK) Antonio Tabucchi (Italy) John Updike (US) Abraham B Yehoshua (Israel),"[{""text"": ""Milan Kundera"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Stanislaw Lem"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Doris Lessing"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Ian McEwan"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Naguib Mahfouz"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Tomas Eloy Martinez"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Kenzaburo Oe"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Cynthia Ozick"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Philip Roth"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Muriel Spark"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Antonio Tabucchi"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""John Updike"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Abraham B Yehoshua"", ""label"": ""AUTHOR-WRITER""}]"
tech_260.txt_32,"Chief executive Steve Jobs showed off the new machine at his annual MacWorld speech, in San Francisco.","[{""text"": ""Steve Jobs"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
tech_260.txt_508,Mr Jobs told the delegates at MacWorld that iPod already had a 65% market share of all digital music players.,"[{""text"": ""Jobs"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
tech_151.txt_467,Speculation that President Bush was getting help during debates via a listening device was first aired on web logs.,"[{""text"": ""Bush"", ""label"": ""POLITICIAN""}]"
sport_069.txt_7,"Double Olympic champion Kelly Holmes was back to her best as she comfortably won the 1,000m at the Norwich Union Birmingham Indoor Grand Prix.","[{""text"": ""Kelly Holmes"", ""label"": ""ATHLETE""}]"
politics_050.txt_668,"The Scottish Conservative Party leader, David McLetchie, questioned what would be exempted from the ban.","[{""text"": ""David McLetchie"", ""label"": ""POLITICIAN""}]"
business_076.txt_304,"This week Colin Powell, US Secretary of State was visiting the West Bank to stress US support for a smooth Palestinian election in January.","[{""text"": ""Colin Powell"", ""label"": ""POLITICIAN""}]"
politics_408.txt_0,Howard hits back at mongrel jibe,"[{""text"": ""Howard"", ""label"": ""POLITICIAN""}]"
politics_408.txt_209,This morning Peter Hain even called me a mongrel.,"[{""text"": ""Peter Hain"", ""label"": ""POLITICIAN""}]"
politics_408.txt_428,"""She's not a human shield Mr Blair, she's a human being.""","[{""text"": ""Blair"", ""label"": ""POLITICIAN""}]"
tech_295.txt_318,"Special guest, singer Gwen Stefani, joined her on-stage to promote her own range of HP digital cameras which Ms Stefani has helped design and which are heavily influenced by Japanese youth culture.","[{""text"": ""Gwen Stefani"", ""label"": ""MUSICIAN""}, {""text"": ""Stefani"", ""label"": ""MUSICIAN""}]"
entertainment_241.txt_0,Youssou N'Dour wins music prize,"[{""text"": ""Youssou N'Dour"", ""label"": ""MUSICIAN""}]"
entertainment_241.txt_5,"

Senegalese musician Youssou N'Dour has been named a winner of a BBC Radio 3 World Music Award.","[{""text"": ""Youssou N'Dour"", ""label"": ""MUSICIAN""}]"
entertainment_241.txt_162,"Cuban pianist Bebo Valdes and flamenco singer Diego El Cigala, responsible for critically acclaimed album Lagrimas Negrasmusic, won an award in the ""boundary crossing"" category.","[{""text"": ""Bebo Valdes"", ""label"": ""MUSICIAN""}, {""text"": ""Diego El Cigala"", ""label"": ""MUSICIAN""}]"
entertainment_030.txt_193,Scrubs star Zach Braff was named best new director for his debut Garden State.,"[{""text"": ""Zach Braff"", ""label"": ""ACTOR-DIRECTOR""}]"
tech_312.txt_709,His name is Tote King and Manuel Millan says that he is the hip-hop leader in Spain.,"[{""text"": ""Tote King"", ""label"": ""MUSICIAN""}, {""text"": ""Manuel Millan"", ""label"": ""PUBLIC-FIGURE""}]"
entertainment_380.txt_155,"Clint Eastwood's Million Dollar Baby re-entered the charts at number eight, following its recent success at the Oscars.","[{""text"": ""Clint Eastwood"", ""label"": ""ACTOR-DIRECTOR""}]"
business_008.txt_95,"Palaniappan Chidambaram, India's finance minister, argued that these organisations need to take into account the changing world order, given India and China's integration into the global economy.","[{""text"": ""Palaniappan Chidambaram"", ""label"": ""POLITICIAN""}]"
politics_149.txt_0,Blair returns from peace mission,"[{""text"": ""Blair"", ""label"": ""POLITICIAN""}]"
politics_149.txt_74,Mr Blair also made a surprise trip to Iraq this week.,"[{""text"": ""Blair"", ""label"": ""POLITICIAN""}]"
politics_149.txt_102,Mr Blair briefly visited the tomb of Yasser Arafat in Ramallah - the first world leader to do so.,"[{""text"": ""Blair"", ""label"": ""POLITICIAN""}, {""text"": ""Yasser Arafat"", ""label"": ""POLITICIAN""}]"
politics_149.txt_287,"Mr Blair acknowledged some people believed he was too close to the Israelis, but said the Israelis were entitled to expect Palestinians to give up terrorism.","[{""text"": ""Blair"", ""label"": ""POLITICIAN""}]"
politics_149.txt_353,"Earlier, Mr Sharon again said he had not seen ""the slightest step"" the Palestinians were working to end terror attacks - though he acknowledged Palestinian leaders were in the middle of an election campaign that could be hampering their efforts.","[{""text"": ""Sharon"", ""label"": ""POLITICIAN""}]"
entertainment_327.txt_0,Kidman wins photographer battle,"[{""text"": ""Kidman"", ""label"": ""ACTOR-DIRECTOR""}]"
entertainment_327.txt_4,"

Actress Nicole Kidman has won a restraining order against two paparazzi photographers who she claims left her fearful of leaving her Sydney mansion.","[{""text"": ""Nicole Kidman"", ""label"": ""ACTOR-DIRECTOR""}]"
entertainment_327.txt_112,"According to local newspaper the Daily Telegraph, the incident involved paparazzi driving through red lights and on the wrong side of the road in pursuit of Kidman's vehicle.","[{""text"": ""Kidman"", ""label"": ""ACTOR-DIRECTOR""}]"
entertainment_327.txt_160,"Kidman sought the ""apprehended violence"" orders - normally used in Australia in cases of domestic violence and similar incidents - after being advised to do so by local police.","[{""text"": ""Kidman"", ""label"": ""ACTOR-DIRECTOR""}]"
entertainment_327.txt_192,"""Nicole would like to make it clear that she acknowledges she is a public figure and that reporters and photographers have a job to do and she respects that,"" said Kidman's publicist Wendy Day.","[{""text"": ""Nicole"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Kidman"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Wendy Day"", ""label"": ""PUBLIC-FIGURE""}]"
entertainment_327.txt_307,"""Miss Kidman says she's willing to put up with some of it, but it's gone beyond that,"" she said.","[{""text"": ""Kidman"", ""label"": ""ACTOR-DIRECTOR""}]"
politics_208.txt_307,The offer comes as the Foreign Secretary Jack Straw arrives in Indonesia for a special summit meeting on the disaster.,"[{""text"": ""Jack Straw"", ""label"": ""POLITICIAN""}]"
politics_328.txt_538,"On the question of whether such papers have always been kept confidential, Tory MP Michael Mates, who is a member of the Commons intelligence and security committee and was part of the Butler inquiry, told the BBC: ""That, as a general rule, is right, but it's not an absolute rule.""","[{""text"": ""Michael Mates"", ""label"": ""POLITICIAN""}, {""text"": ""Butler"", ""label"": ""POLITICIAN""}]"
politics_328.txt_599,"He said there had been other occasions when advice had been published, most recently regarding Prince Charles's marriage plans.","[{""text"": ""Prince Charles"", ""label"": ""PUBLIC-FIGURE""}]"
entertainment_175.txt_0,Alicia Keys to open US Super Bowl,"[{""text"": ""Alicia Keys"", ""label"": ""MUSICIAN""}]"
politics_027.txt_0,Butler launches attack on Blair,"[{""text"": ""Butler"", ""label"": ""POLITICIAN""}, {""text"": ""Blair"", ""label"": ""POLITICIAN""}]"
sport_275.txt_106,But Beckham revealed that his immediate priority was winning the Spanish league title with Real Madrid.,"[{""text"": ""Beckham"", ""label"": ""ATHLETE""}]"
sport_275.txt_194,"In a wide-ranging interview, Beckham also revealed that his sending-off against Argentina - and the resulting media storm - had been the most significant moment in his career.","[{""text"": ""Beckham"", ""label"": ""ATHLETE""}]"
sport_406.txt_0,Fuming Robinson blasts officials,"[{""text"": ""Robinson"", ""label"": ""ATHLETE""}]"
entertainment_244.txt_351,Police discover Edwards' car in a car park near the Severn Bridge near Bristol - a notorious suicide spot.,"[{""text"": ""Edwards"", ""label"": ""MUSICIAN""}]"
entertainment_280.txt_180,"But you don't know what the unexpected will be and as the musical director, it's exciting,"" explains Conti.","[{""text"": ""Conti"", ""label"": ""MUSICIAN""}]"
entertainment_124.txt_188,"his name became linked with the Charles Manson murders, which saw the deaths of actress Sharon Tate and four of her friends at a home which Melcher once rented.","[{""text"": ""Charles Manson"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Sharon Tate"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Melcher"", ""label"": ""MUSICIAN""}]"
entertainment_301.txt_188,"Robert Redford founded Sundance in 1981 and it has gone on to showcase future successes such as Reservoir Dogs, The Blair Witch Project and The Full Monty.","[{""text"": ""Robert Redford"", ""label"": ""ACTOR-DIRECTOR""}]"
entertainment_365.txt_0,Tarantino to direct CSI episode,"[{""text"": ""Tarantino"", ""label"": ""ACTOR-DIRECTOR""}]"
business_457.txt_6,German Chancellor Gerhard Schroeder has called for radical reform of the EU's stability pact to grant countries more flexibility over their budget deficits.,"[{""text"": ""Gerhard Schroeder"", ""label"": ""POLITICIAN""}]"
politics_327.txt_0,Goldsmith denies war advice claim,"[{""text"": ""Goldsmith"", ""label"": ""POLITICIAN""}]"
politics_327.txt_385,"""That's what he (Lord Goldsmith) said and that's what I say.","[{""text"": ""Goldsmith"", ""label"": ""POLITICIAN""}]"
politics_327.txt_437,"On the question of whether such papers have always been kept confidential, Tory MP Michael Mates, who is a member of the Commons intelligence and security committee and was part of the Butler inquiry, told the BBC: ""That, as a general rule, is right, but it's not an absolute rule.""","[{""text"": ""Michael Mates"", ""label"": ""POLITICIAN""}, {""text"": ""Butler"", ""label"": ""POLITICIAN""}]"
politics_327.txt_498,"He said there had been other occasions when advice had been published, most recently regarding Prince Charles's marriage plans.","[{""text"": ""Prince Charles"", ""label"": ""PUBLIC-FIGURE""}]"
sport_330.txt_0,Campese berates whingeing England,"[{""text"": ""Campese"", ""label"": ""ATHLETE""}]"
entertainment_088.txt_234,"Soderbergh returns to direct the hit sequel which reunites Clooney, Pitt and Roberts with Matt Damon, Andy Garcia and Elliott Gould.","[{""text"": ""Soderbergh"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Clooney"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Pitt"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Roberts"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Matt Damon"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Andy Garcia"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Elliott Gould"", ""label"": ""ACTOR-DIRECTOR""}]"
entertainment_063.txt_252,"Best actors are Daniel Auteuil for 36, Mathieu Amalric for Kings And Queen, Gerard Jugnot for The Chorus, Philippe Torreton for L'Equipier and Benoit Poelvoorde for Podium.","[{""text"": ""Daniel Auteuil"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Mathieu Amalric"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Gerard Jugnot"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Philippe Torreton"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Benoit Poelvoorde"", ""label"": ""ACTOR-DIRECTOR""}]"
entertainment_332.txt_26,"The superhero film was named best animated feature while Brad Bird won best director, writer and voice actor for his role as designer Edna Mode.","[{""text"": ""Brad Bird"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Edna Mode"", ""label"": ""PUBLIC-FIGURE""}]"
sport_061.txt_33,"Olympic heptathlon bronze medallist, Sotherton, led the event with her first leap of 6.43m - a personal best.","[{""text"": ""Sotherton"", ""label"": ""ATHLETE""}]"
